Seed,N,Subset_Key,Split_Number,Repeat,Fold,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Fold_SHA256
4525,32,S4525_N32,3,1,3,24,8,12,12,4,4,1d0c9093e0f600a9feeeae8514d17e00fd498e1b651e343d394a0feedb1de914
4525,32,S4525_N32,4,1,4,24,8,12,12,4,4,e4a9f48c0c5eb7db4f77aee689cc34ba5424a8e99d42390c54d7394eb3f9ae4c
4525,32,S4525_N32,5,2,1,24,8,12,12,4,4,330707b8f691f0c591110b327a8016de4c364f1317d0dc50ed5a4f11954b88df
4525,32,S4525_N32,6,2,2,24,8,12,12,4,4,afcc3fdc205c7f50c3ab258349e6fb9a206f3d0d14d28d0db9b506c8e6026bbd
4525,32,S4525_N32,7,2,3,24,8,12,12,4,4,c3b455b67f6bcfde01186687756aa9bd51e20dba638d5c8eca9292aa6b375ab7
4525,32,S4525_N32,8,2,4,24,8,12,12,4,4,9fb8ff3367e69d85c3e43cea3d1f9ba52cd11c0a46496a3cda6913fc12926157
4525,32,S4525_N32,9,3,1,24,8,12,12,4,4,8c8780f9c8020493fa33af23d61f4304b1d3b4dbdb3a48da3a450c870ab63b38
4525,32,S4525_N32,10,3,2,24,8,12,12,4,4,fd7be9f856ba2d50f67e83812692049ee2df7c5eb909f7bc08e1ef17e1d46ad2
4525,32,S4525_N32,11,3,3,24,8,12,12,4,4,e00aba3182f1dc24ee2ed515e77f7805c90710a9e7d9713e0b6331066287c925
4525,32,S4525_N32,12,3,4,24,8,12,12,4,4,91cab952278bc123d9542f79e03e59cc9ccbec22cb674d2203bb43c09119f9a6
4525,32,S4525_N32,13,4,1,24,8,12,12,4,4,83acf88110f78189e89bb3bd291e27bb0eb597eb71fe2b3216d8a717e7611de8
4525,32,S4525_N32,14,4,2,24,8,12,12,4,4,92ba9a5638805673a9a69dcd513aa460f8c0cbcae0ff59320d06e16424a7070c
4525,32,S4525_N32,15,4,3,24,8,12,12,4,4,e1a4f8ab779273cb21b7e8b2d92dc82d3957442d6db0333d1544e12949ed44f2
4525,32,S4525_N32,16,4,4,24,8,12,12,4,4,875168eea875aacbc69967bb72fba459fef08b88cf571e4be4c0119875efa324
4525,32,S4525_N32,17,5,1,24,8,12,12,4,4,b086a7b9725843fe207812efd05281424b080cc32e4b6e0feed379b801bb0f30
4525,32,S4525_N32,18,5,2,24,8,12,12,4,4,9ccdfa81198352acbdde02935b2f0c4f4d11de97683ed83ad6393d7d2284839e
4525,32,S4525_N32,19,5,3,24,8,12,12,4,4,60aadafd68ed09c2b26f030e7402b1cb76683899f61e41a42b763c2e375cb03a
4525,32,S4525_N32,20,5,4,24,8,12,12,4,4,49bbbfe3115cd11d996434ad6fd2ccd6bf797510f58e6e483eb5cd83635809d8
4525,64,S4525_N64,1,1,1,48,16,24,24,8,8,22799153f551bb54d49a90ad4b572302b454fd5b541f7aa0f32e86699e560218
4525,64,S4525_N64,2,1,2,48,16,24,24,8,8,46e4fe12342a192ff760bcbd5e3f83531ec7c1b7e0811507260ee88adfe57287
4525,64,S4525_N64,3,1,3,48,16,24,24,8,8,c6521caec3fa883d24998c2fb02af8da9489e490899f524ebaee7dd96593a340
4525,64,S4525_N64,4,1,4,48,16,24,24,8,8,57187a42cae970a96afe12c5384c72ca3f0f8b1e5b851159d20532a57284d26b
4525,64,S4525_N64,5,2,1,48,16,24,24,8,8,3b025d81e6223b173e34dd0f2c191507584a473692a85815a23ef665b2c039dd
4525,64,S4525_N64,6,2,2,48,16,24,24,8,8,e2a005a3c14b74ce47da019893a246e90f4c052eb6703ea0efb048e3f512307b
4525,64,S4525_N64,7,2,3,48,16,24,24,8,8,3e4b8e2f72507299e48a45089ce2a60f139f98a83fa2a2b10bace4e8c22f3013
4525,64,S4525_N64,8,2,4,48,16,24,24,8,8,480d963de6dfd708753fc8c138563e3a052527a7ecbee91598999467c5398a86
4525,64,S4525_N64,9,3,1,48,16,24,24,8,8,8bd2d908b86dd60893c636e88f95862af4fc92fd00d3a730050930ee8d1b357d
4525,64,S4525_N64,10,3,2,48,16,24,24,8,8,a4de0c27b08ce51edc3b022ef56e462cef77a3cdc9e2038e80c421b0d36c8022
4525,64,S4525_N64,11,3,3,48,16,24,24,8,8,9ccc68c96c4c0410a0b0bdfb39dbb30d7606c8ce891243246b2cb6ac715d4a21
4525,64,S4525_N64,12,3,4,48,16,24,24,8,8,6abb71e2472acb27ce6c7c3f19b8c33451d6f7197404cf4c182d35a04a9e4d88
4525,64,S4525_N64,13,4,1,48,16,24,24,8,8,715d11aa1cb465c9d5cc494a512a8bcb5c83282406c87b067e2aba4d0e2a6717
4525,64,S4525_N64,14,4,2,48,16,24,24,8,8,3eacc066bdd72341aa5613675fd24ee24e109af405f809d6b579e3dbe70fe922
4525,64,S4525_N64,15,4,3,48,16,24,24,8,8,9249b5a7004bcc8946ee26fd18409e5c836218cb011dec1d0f85dbb3ec0640bb
4525,64,S4525_N64,16,4,4,48,16,24,24,8,8,75132a9bb91bd4dda209bd0ba392fcaf25be6daae1ca50452c60ef9c330ea3b1
4525,64,S4525_N64,17,5,1,48,16,24,24,8,8,582cd69fc266977d897b77501279f87b46499e5f810694e4c2372372a133f588
4525,64,S4525_N64,18,5,2,48,16,24,24,8,8,4bd3dd0b59779a0e057bfc926f52f94cf89d61fc7ab4e8ba51efad60830c4fad
4525,64,S4525_N64,19,5,3,48,16,24,24,8,8,af1beced65c50a0084c6edb5e5285e750cfedc99a80066873bbfcb428b302e24
4525,64,S4525_N64,20,5,4,48,16,24,24,8,8,cc8c145cbeb003e0b5ff5e58f3f0a225e38714497ccd5b78c1451398afe8389d
4526,16,S4526_N16,1,1,1,12,4,6,6,2,2,2553e1826de974afeb8db8e41c7f26e98c3bc1853795210791432af269783da9
4526,16,S4526_N16,2,1,2,12,4,6,6,2,2,d4314d1f439754be18135a25e10c8d89267183dc301c5ab5ad3b786353666167
4526,16,S4526_N16,3,1,3,12,4,6,6,2,2,2b41b06744497716c0746437dc9e97d864b4cd55a73816540256b012bb669808
4526,16,S4526_N16,4,1,4,12,4,6,6,2,2,c0c1d489f481751972572055bb9a4ae273d49dbb543cc21c6cde1cd2c278fe8a
4526,16,S4526_N16,5,2,1,12,4,6,6,2,2,47dd67c016d4b143717393eff813d312a39a6d2d796a2a815c0691985fee647f
4526,16,S4526_N16,6,2,2,12,4,6,6,2,2,023fc3ab2a749fa10be6152d4af61209012da3c8ac106d0f707f0156de9b35bc
4526,16,S4526_N16,7,2,3,12,4,6,6,2,2,74fcdf89699408ea385ae3ff7d4c265fd70bb43a5eba2fb4231cd37ade19e040
4526,16,S4526_N16,8,2,4,12,4,6,6,2,2,3dca425682e859c4a9d6cb978cc60711a4c49ce1f73d23a7d590efc221af2837
4526,16,S4526_N16,9,3,1,12,4,6,6,2,2,d9bb4dd385ca5f159d9634f975d67e242e94883fce8ad23fc9ee996e105f115b
4526,16,S4526_N16,10,3,2,12,4,6,6,2,2,ccff75cdbaa2435f10a838bc980b2001cd432b4ba2732338bc6f2512fd3c3550
4526,16,S4526_N16,11,3,3,12,4,6,6,2,2,2e928bc246161fe36b022f6be286757853b1dba34862473a3d26f3a3e79f5cc9
4526,16,S4526_N16,12,3,4,12,4,6,6,2,2,cf43c83cf14b6e0b05559e3ea80d5bc3fee17bea2a1b17ef2d71f7a612f95204
4526,16,S4526_N16,13,4,1,12,4,6,6,2,2,26ad159bdc5cbc7ef1f45fde30915b93d2c887b4068a017b3287791629400ff8
4526,16,S4526_N16,14,4,2,12,4,6,6,2,2,8d42ee032611b2c123da411fc5eaf0c73a672a430eb5d88bdb2b4c8bf574e8a8
4526,16,S4526_N16,15,4,3,12,4,6,6,2,2,1accd75c19454a35e7bebaed041d70fe02b3ccf207b85c9077c2fd234fc971e2
4526,16,S4526_N16,16,4,4,12,4,6,6,2,2,d4c620f2f82022825c299f5286d392eded91a61b32c6467671838c0bae8e2856
4526,16,S4526_N16,17,5,1,12,4,6,6,2,2,7c0014e4117a713b5400c1e2b56276523b0632ab5d8342feade2f4c21af7b8e6
4526,16,S4526_N16,18,5,2,12,4,6,6,2,2,cc67291944086f725b16784d8516ef9d3e6abafc0fc21d655200fb277b1c803a
4526,16,S4526_N16,19,5,3,12,4,6,6,2,2,bb8012997fbcf121578d04fde4268c441ca8b14bec72f12fee5fd15ec726ff26
4526,16,S4526_N16,20,5,4,12,4,6,6,2,2,c88b108618553e5329269f726d0ff0989e04fe08d9e5332f7452ea4f526bdf36
4526,32,S4526_N32,1,1,1,24,8,12,12,4,4,c1453e9cdb39377160958b89fcccfcd3b1333957e6380f703bda8cd5c2cf0986
4526,32,S4526_N32,2,1,2,24,8,12,12,4,4,ea021e1828092ccc46d9e55ca49050d84065a17ae6e97d6f326b7a3d752f01f9
4526,32,S4526_N32,3,1,3,24,8,12,12,4,4,c25ef4e35360fd17005a7848c61ba24eb8c9063f9584d961db5b6b1b13d2ccda
4526,32,S4526_N32,4,1,4,24,8,12,12,4,4,f1ee3a4830b93ed20f07ea16f87728594ca32de27fcf3f064c9296f5614ce489
4526,32,S4526_N32,5,2,1,24,8,12,12,4,4,ade37d18d15e4aa6c7d9cac349bd68ed8513d75abd202187bffaf39c6feb3b38
4526,32,S4526_N32,6,2,2,24,8,12,12,4,4,a1f4914c1288ea8ff398e23149d7faed0629d435a66550fc914100933a0ee6ee
4526,32,S4526_N32,7,2,3,24,8,12,12,4,4,b95d1bf62ff0359ef0502b3303c524199fe10a362c2d55febcfe3a7cd2a654fd
4526,32,S4526_N32,8,2,4,24,8,12,12,4,4,ac336d3ba6d457e81618a3d5c8fe81c7c63ca56601c9042e17df26c297f30cc7
4526,32,S4526_N32,9,3,1,24,8,12,12,4,4,f3c86c2c54aa2841fe919cda9a661edca9b20d38bb2e7eb4abf39c2d6fe6a81b
4526,32,S4526_N32,10,3,2,24,8,12,12,4,4,b8ad6c2126a6e51488d01657a34d9bcea0e1702dd5a0126c12e959efc4014898
4526,32,S4526_N32,11,3,3,24,8,12,12,4,4,b1e3771ff0d56f7ea0aa1d9703ea691b5d09d4c115604081af2317deb09ca133
4526,32,S4526_N32,12,3,4,24,8,12,12,4,4,5be36081d70302be18f4106f6f28ebef78aa87322ec512f42afa7de173d02c0a
