Shots,i,j,Sample_ID_i,Sample_ID_j,Count_0000,K_Exact,K_Shots,Absolute_Error
1024,2,7,WP_0061,WP_1377,514,0.5197312553633113,0.501953125,0.01777813036331133
1024,2,8,WP_0061,WP_0829,173,0.16038709634419654,0.1689453125,0.00855821615580346
1024,2,9,WP_0061,WP_0433,334,0.32539563234779223,0.326171875,0.0007762426522077703
1024,2,10,WP_0061,WP_0579,241,0.23171063721788782,0.2353515625,0.003640925282112184
1024,2,11,WP_0061,WP_1409,327,0.33606191301412586,0.3193359375,0.016725975514125857
1024,2,12,WP_0061,WP_1720,108,0.11704017240706888,0.10546875,0.011571422407068876
1024,2,13,WP_0061,WP_0101,400,0.40235946074870854,0.390625,0.011734460748708542
1024,2,14,WP_0061,WP_1458,85,0.07963301906624075,0.0830078125,0.0033747934337592517
1024,2,15,WP_0061,WP_1713,328,0.3156164594022688,0.3203125,0.00469604059773121
1024,3,3,WP_1896,WP_1896,1024,1.0,1.0,0.0
1024,3,4,WP_1896,WP_1242,335,0.3181538341536143,0.3271484375,0.008994603346385688
1024,3,5,WP_1896,WP_0970,331,0.2961038846002646,0.3232421875,0.0271383028997354
1024,3,6,WP_1896,WP_0376,452,0.4472546011497814,0.44140625,0.005848351149781383
1024,3,7,WP_1896,WP_1377,708,0.6740385801989209,0.69140625,0.017367669801079066
1024,3,8,WP_1896,WP_0829,124,0.10251874086114511,0.12109375,0.01857500913885489
1024,3,9,WP_1896,WP_0433,593,0.5876661378235322,0.5791015625,0.008564575323532164
1024,3,10,WP_1896,WP_0579,327,0.3294807002457435,0.3193359375,0.010144762745743496
1024,3,11,WP_1896,WP_1409,400,0.374620885399056,0.390625,0.016004114600943975
1024,3,12,WP_1896,WP_1720,141,0.13316214803983514,0.1376953125,0.004533164460164857
1024,3,13,WP_1896,WP_0101,122,0.12484766637496711,0.119140625,0.005707041374967109
1024,3,14,WP_1896,WP_1458,205,0.19224196119140485,0.2001953125,0.007953351308595147
1024,3,15,WP_1896,WP_1713,209,0.1917752097891617,0.2041015625,0.01232635271083829
1024,4,4,WP_1242,WP_1242,1024,1.0000000000000009,1.0,8.881784197001252e-16
1024,4,5,WP_1242,WP_0970,641,0.6378632393380216,0.6259765625,0.011886676838021581
1024,4,6,WP_1242,WP_0376,636,0.6301448426641623,0.62109375,0.009051092664162264
1024,4,7,WP_1242,WP_1377,383,0.3443561923878377,0.3740234375,0.029667245112162288
1024,4,8,WP_1242,WP_0829,290,0.2810674890227361,0.283203125,0.0021356359772639055
1024,4,9,WP_1242,WP_0433,198,0.171328716419768,0.193359375,0.02203065858023201
1024,4,10,WP_1242,WP_0579,204,0.20713378532462123,0.19921875,0.007915035324621233
1024,4,11,WP_1242,WP_1409,162,0.14005640989356596,0.158203125,0.018146715106434036
1024,4,12,WP_1242,WP_1720,155,0.13883471076692902,0.1513671875,0.01253247673307098
1024,4,13,WP_1242,WP_0101,567,0.5653344937956013,0.5537109375,0.0116235562956013
1024,4,14,WP_1242,WP_1458,190,0.19967207997064526,0.185546875,0.014125204970645261
1024,4,15,WP_1242,WP_1713,550,0.519967785893817,0.537109375,0.01714158910618302
1024,5,5,WP_0970,WP_0970,1024,0.9999999999999993,1.0,6.661338147750939e-16
1024,5,6,WP_0970,WP_0376,448,0.43827181007113714,0.4375,0.0007718100711371356
1024,5,7,WP_0970,WP_1377,199,0.20666659715115365,0.1943359375,0.012330659651153653
1024,5,8,WP_0970,WP_0829,203,0.20377237361719325,0.1982421875,0.005530186117193248
1024,5,9,WP_0970,WP_0433,107,0.11327955248873732,0.1044921875,0.00878736498873732
1024,5,10,WP_0970,WP_0579,381,0.3711688339994439,0.3720703125,0.0009014785005561077
1024,5,11,WP_0970,WP_1409,205,0.19208036981545581,0.2001953125,0.008114942684544185
1024,5,12,WP_0970,WP_1720,142,0.16158423416924228,0.138671875,0.02291235916924228
1024,5,13,WP_0970,WP_0101,502,0.48462833059730115,0.490234375,0.005606044402698851
1024,5,14,WP_0970,WP_1458,333,0.32898103191941386,0.3251953125,0.0037857194194138577
1024,5,15,WP_0970,WP_1713,827,0.796304751339522,0.8076171875,0.011312436160477946
1024,6,6,WP_0376,WP_0376,1024,0.9999999999999991,1.0,8.881784197001252e-16
1024,6,7,WP_0376,WP_1377,306,0.33347574025809285,0.298828125,0.034647615258092845
1024,6,8,WP_0376,WP_0829,128,0.11836584737270144,0.125,0.006634152627298565
1024,6,9,WP_0376,WP_0433,143,0.15198087958245096,0.1396484375,0.012332442082450962
1024,6,10,WP_0376,WP_0579,87,0.08679787556790208,0.0849609375,0.001836938067902083
1024,6,11,WP_0376,WP_1409,135,0.1429924259059247,0.1318359375,0.011156488405924703
1024,6,12,WP_0376,WP_1720,88,0.08384775633911204,0.0859375,0.0020897436608879605
1024,6,13,WP_0376,WP_0101,459,0.4436278826571348,0.4482421875,0.00461430484286518
1024,6,14,WP_0376,WP_1458,97,0.08973362232681416,0.0947265625,0.004992940173185842
1024,6,15,WP_0376,WP_1713,311,0.30792403364137144,0.3037109375,0.004213096141371442
1024,7,7,WP_1377,WP_1377,1024,1.0000000000000013,1.0,1.3322676295501878e-15
1024,7,8,WP_1377,WP_0829,171,0.17357849889542384,0.1669921875,0.006586311395423844
1024,7,9,WP_1377,WP_0433,684,0.6728249432601476,0.66796875,0.004856193260147634
1024,7,10,WP_1377,WP_0579,311,0.28695327025098627,0.3037109375,0.01675766724901373
1024,7,11,WP_1377,WP_1409,188,0.18177362171135442,0.18359375,0.0018201282886455838
1024,7,12,WP_1377,WP_1720,42,0.031249647906613585,0.041015625,0.009765977093386415
1024,7,13,WP_1377,WP_0101,103,0.09961796121114827,0.1005859375,0.0009679762888517296
1024,7,14,WP_1377,WP_1458,52,0.05163846787819636,0.05078125,0.0008572178781963632
1024,7,15,WP_1377,WP_1713,168,0.15332600834610777,0.1640625,0.010736491653892233
1024,8,8,WP_0829,WP_0829,1024,1.0000000000000004,1.0,4.440892098500626e-16
1024,8,9,WP_0829,WP_0433,59,0.05883403095629079,0.0576171875,0.001216843456290792
1024,8,10,WP_0829,WP_0579,45,0.03644871247386599,0.0439453125,0.007496600026134011
1024,8,11,WP_0829,WP_1409,154,0.15309877047046402,0.150390625,0.002708145470464024
1024,8,12,WP_0829,WP_1720,183,0.17817493743301144,0.1787109375,0.0005360000669885623
1024,8,13,WP_0829,WP_0101,148,0.13557627868212077,0.14453125,0.008954971317879229
1024,8,14,WP_0829,WP_1458,12,0.010675103362578976,0.01171875,0.0010436466374210245
1024,8,15,WP_0829,WP_1713,406,0.4083119281435258,0.396484375,0.011827553143525793
1024,9,9,WP_0433,WP_0433,1024,1.0,1.0,0.0
1024,9,10,WP_0433,WP_0579,308,0.3114333091289623,0.30078125,0.010652059128962277
1024,9,11,WP_0433,WP_1409,75,0.07032871962657215,0.0732421875,0.002913467873427847
1024,9,12,WP_0433,WP_1720,5,0.007394601589464529,0.0048828125,0.002511789089464529
1024,9,13,WP_0433,WP_0101,62,0.06620867673354214,0.060546875,0.005661801733542138
1024,9,14,WP_0433,WP_1458,46,0.05691174153885822,0.044921875,0.011989866538858217
1024,9,15,WP_0433,WP_1713,71,0.08263468744904269,0.0693359375,0.01329874994904269
1024,10,10,WP_0579,WP_0579,1024,1.0000000000000013,1.0,1.3322676295501878e-15
1024,10,11,WP_0579,WP_1409,68,0.061433666609218146,0.06640625,0.004972583390781854
1024,10,12,WP_0579,WP_1720,13,0.009797068105404635,0.0126953125,0.0028982443945953645
1024,10,13,WP_0579,WP_0101,60,0.06085236820761147,0.05859375,0.0022586182076114666
1024,10,14,WP_0579,WP_1458,482,0.46210398558126586,0.470703125,0.008599139418734136
1024,10,15,WP_0579,WP_1713,185,0.1911752444345566,0.1806640625,0.010511181934556607
1024,11,11,WP_1409,WP_1409,1024,1.0,1.0,0.0
1024,11,12,WP_1409,WP_1720,558,0.5775448338815308,0.544921875,0.03262295888153077
1024,11,13,WP_1409,WP_0101,23,0.030796190225415944,0.0224609375,0.008335252725415944
1024,11,14,WP_1409,WP_1458,14,0.02120490862622018,0.013671875,0.007533033626220181
1024,11,15,WP_1409,WP_1713,193,0.1819343501551752,0.1884765625,0.006542212344824799
1024,12,12,WP_1720,WP_1720,1024,1.0000000000000009,1.0,8.881784197001252e-16
1024,12,13,WP_1720,WP_0101,33,0.03273987349271794,0.0322265625,0.0005133109927179386
1024,12,14,WP_1720,WP_1458,7,0.008714747624463321,0.0068359375,0.0018788101244633214
1024,12,15,WP_1720,WP_1713,208,0.22183537425170366,0.203125,0.01871037425170366
1024,13,13,WP_0101,WP_0101,1024,0.9999999999999991,1.0,8.881784197001252e-16
1024,13,14,WP_0101,WP_1458,102,0.10223517168892919,0.099609375,0.002625796688929191
1024,13,15,WP_0101,WP_1713,497,0.48424789865172146,0.4853515625,0.0011036638482785355
1024,14,14,WP_1458,WP_1458,1024,0.9999999999999996,1.0,4.440892098500626e-16
1024,14,15,WP_1458,WP_1713,227,0.22952452936530462,0.2216796875,0.007844841865304625
1024,15,15,WP_1713,WP_1713,1024,1.0000000000000004,1.0,4.440892098500626e-16
