Seed,N,Split_Number,Feature_Map,C,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Unsafe_Acceptance,Elapsed_Seconds,RBF_Balanced_Accuracy,RBF_MCC,RBF_F1,RBF_Specificity,RBF_Unsafe_Acceptance,Delta_BA_vs_RBF,Delta_MCC_vs_RBF,Win_vs_RBF,Tie_vs_RBF
4524,32,11,ZZ_Linear,1.0,0.625,0.2581988897471611,0.6666666666666666,0.5,0.5,0.5,0.029203176498413086,0.25,-0.5773502691896258,0.0,0.5,0.5,0.375,0.8355491589367869,1,0
4524,32,11,Pauli_Z_YY,1.0,0.625,0.2581988897471611,0.6666666666666666,0.6875,0.5,0.5,0.04196333885192871,0.25,-0.5773502691896258,0.0,0.5,0.5,0.375,0.8355491589367869,1,0
4524,32,11,Custom_Domain,1.0,0.625,0.2581988897471611,0.6666666666666666,0.4375,0.5,0.5,0.031525373458862305,0.25,-0.5773502691896258,0.0,0.5,0.5,0.375,0.8355491589367869,1,0
4524,32,12,Separable_Control,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.032550811767578125,0.375,-0.3779644730092272,0.0,0.75,0.25,0.125,0.3779644730092272,1,0
4524,32,12,ZZ_Linear,1.0,0.625,0.2581988897471611,0.5714285714285714,0.75,0.75,0.25,0.03126025199890137,0.375,-0.3779644730092272,0.0,0.75,0.25,0.25,0.6361633627563883,1,0
4524,32,12,Pauli_Z_YY,1.0,0.625,0.2581988897471611,0.5714285714285714,0.6875,0.75,0.25,0.0421137809753418,0.375,-0.3779644730092272,0.0,0.75,0.25,0.25,0.6361633627563883,1,0
4524,32,12,Custom_Domain,1.0,0.875,0.7745966692414834,0.8571428571428571,0.9375,1.0,0.0,0.02586054801940918,0.375,-0.3779644730092272,0.0,0.75,0.25,0.5,1.1525611422507107,1,0
4524,32,13,Separable_Control,1.0,0.625,0.2581988897471611,0.6666666666666666,0.75,0.5,0.5,0.021660804748535156,0.5,0.0,0.3333333333333333,0.75,0.25,0.125,0.2581988897471611,1,0
4524,32,13,ZZ_Linear,1.0,0.75,0.5,0.75,0.875,0.75,0.25,0.02917194366455078,0.5,0.0,0.3333333333333333,0.75,0.25,0.25,0.5,1,0
4524,32,13,Pauli_Z_YY,1.0,0.75,0.5,0.75,0.9375,0.75,0.25,0.03959536552429199,0.5,0.0,0.3333333333333333,0.75,0.25,0.25,0.5,1,0
4524,32,13,Custom_Domain,1.0,0.75,0.5773502691896258,0.6666666666666666,0.9375,1.0,0.0,0.025472640991210938,0.5,0.0,0.3333333333333333,0.75,0.25,0.25,0.5773502691896258,1,0
4524,32,14,Separable_Control,1.0,0.5,0.0,0.6,0.4375,0.25,0.75,0.022193193435668945,0.25,-0.5,0.25,0.25,0.75,0.25,0.5,1,0
4524,32,14,ZZ_Linear,1.0,0.25,-0.5,0.25,0.25,0.25,0.75,0.028740882873535156,0.25,-0.5,0.25,0.25,0.75,0.0,0.0,0,1
4524,32,14,Pauli_Z_YY,1.0,0.25,-0.5,0.25,0.4375,0.25,0.75,0.03866696357727051,0.25,-0.5,0.25,0.25,0.75,0.0,0.0,0,1
4524,32,14,Custom_Domain,1.0,0.5,0.0,0.5,0.375,0.5,0.5,0.025448083877563477,0.25,-0.5,0.25,0.25,0.75,0.25,0.5,1,0
4524,32,15,Separable_Control,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.022070884704589844,0.5,0.0,0.6,0.25,0.75,0.0,0.0,0,1
4524,32,15,ZZ_Linear,1.0,0.75,0.5773502691896258,0.8,0.75,0.5,0.5,0.02925419807434082,0.5,0.0,0.6,0.25,0.75,0.25,0.5773502691896258,1,0
4524,32,15,Pauli_Z_YY,1.0,0.625,0.2581988897471611,0.6666666666666666,0.6875,0.5,0.5,0.0474090576171875,0.5,0.0,0.6,0.25,0.75,0.125,0.2581988897471611,1,0
4524,32,15,Custom_Domain,1.0,0.75,0.5773502691896258,0.8,0.75,0.5,0.5,0.025465011596679688,0.5,0.0,0.6,0.25,0.75,0.25,0.5773502691896258,1,0
4524,32,16,Separable_Control,1.0,0.625,0.3779644730092272,0.4,0.625,1.0,0.0,0.02245187759399414,0.5,0.0,0.5,0.5,0.5,0.125,0.3779644730092272,1,0
4524,32,16,ZZ_Linear,1.0,0.5,0.0,0.5,0.75,0.5,0.5,0.02819681167602539,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
