Shots,i,j,Sample_ID_i,Sample_ID_j,Count_0000,K_Exact,K_Shots,Absolute_Error
256,8,9,WP_0829,WP_0433,14,0.05883403095629079,0.0546875,0.004146530956290792
256,8,10,WP_0829,WP_0579,8,0.03644871247386599,0.03125,0.005198712473865989
256,8,11,WP_0829,WP_1409,39,0.15309877047046402,0.15234375,0.000755020470464024
256,8,12,WP_0829,WP_1720,53,0.17817493743301144,0.20703125,0.028856312566988562
256,8,13,WP_0829,WP_0101,41,0.13557627868212077,0.16015625,0.02457997131787923
256,8,14,WP_0829,WP_1458,3,0.010675103362578976,0.01171875,0.0010436466374210245
256,8,15,WP_0829,WP_1713,103,0.4083119281435258,0.40234375,0.005968178143525793
256,9,9,WP_0433,WP_0433,256,1.0,1.0,0.0
256,9,10,WP_0433,WP_0579,76,0.3114333091289623,0.296875,0.014558309128962277
256,9,11,WP_0433,WP_1409,24,0.07032871962657215,0.09375,0.023421280373427847
256,9,12,WP_0433,WP_1720,1,0.007394601589464529,0.00390625,0.003488351589464529
256,9,13,WP_0433,WP_0101,20,0.06620867673354214,0.078125,0.011916323266457862
256,9,14,WP_0433,WP_1458,12,0.05691174153885822,0.046875,0.010036741538858217
256,9,15,WP_0433,WP_1713,14,0.08263468744904269,0.0546875,0.02794718744904269
256,10,10,WP_0579,WP_0579,256,1.0000000000000013,1.0,1.3322676295501878e-15
256,10,11,WP_0579,WP_1409,20,0.061433666609218146,0.078125,0.016691333390781854
256,10,12,WP_0579,WP_1720,6,0.009797068105404635,0.0234375,0.013640431894595365
256,10,13,WP_0579,WP_0101,10,0.06085236820761147,0.0390625,0.021789868207611467
256,10,14,WP_0579,WP_1458,117,0.46210398558126586,0.45703125,0.005072735581265864
256,10,15,WP_0579,WP_1713,39,0.1911752444345566,0.15234375,0.03883149443455661
256,11,11,WP_1409,WP_1409,256,1.0,1.0,0.0
256,11,12,WP_1409,WP_1720,142,0.5775448338815308,0.5546875,0.022857333881530773
256,11,13,WP_1409,WP_0101,4,0.030796190225415944,0.015625,0.015171190225415944
256,11,14,WP_1409,WP_1458,4,0.02120490862622018,0.015625,0.005579908626220181
256,11,15,WP_1409,WP_1713,43,0.1819343501551752,0.16796875,0.0139656001551752
256,12,12,WP_1720,WP_1720,256,1.0000000000000009,1.0,8.881784197001252e-16
256,12,13,WP_1720,WP_0101,9,0.03273987349271794,0.03515625,0.0024163765072820614
256,12,14,WP_1720,WP_1458,2,0.008714747624463321,0.0078125,0.0009022476244633214
256,12,15,WP_1720,WP_1713,53,0.22183537425170366,0.20703125,0.01480412425170366
256,13,13,WP_0101,WP_0101,256,0.9999999999999991,1.0,8.881784197001252e-16
256,13,14,WP_0101,WP_1458,25,0.10223517168892919,0.09765625,0.004578921688929191
256,13,15,WP_0101,WP_1713,114,0.48424789865172146,0.4453125,0.038935398651721465
256,14,14,WP_1458,WP_1458,256,0.9999999999999996,1.0,4.440892098500626e-16
256,14,15,WP_1458,WP_1713,59,0.22952452936530462,0.23046875,0.0009442206346953752
256,15,15,WP_1713,WP_1713,256,1.0000000000000004,1.0,4.440892098500626e-16
