Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4539,32,ZZ_Linear,0.51875,0.02124598372695404,0.4513744588744588,0.5375,0.575,0.4625,0.425,23.75,0.03231467749546155,154.42375964413193
4539,64,Custom_Domain,0.5375,0.07997133511531682,0.49135312958455374,0.53046875,0.6,0.475,0.4,46.75,0.0043158979416425495,3381.7904823470813
4539,64,Pauli_Z_YY,0.546875,0.10737350306082889,0.5027067084961822,0.553125,0.625,0.46875,0.375,46.05,0.00499792505493775,1795.0686611480373
4539,64,SVM_RBF_Fixed,0.565625,0.1470094872091842,0.5068620921562098,0.559375,0.65,0.48125,0.35,46.15,,
4539,64,Separable_Control,0.46875,-0.07871014636972277,0.4066024859213713,0.4875,0.5125,0.425,0.4875,46.95,0.001330532315308,16832.939251492855
4539,64,ZZ_Linear,0.56875,0.15403541851493602,0.47980771679301093,0.55078125,0.71875,0.41875,0.28125,46.25,0.0060058562203489,1532.1678132796314
4540,16,Custom_Domain,0.6,0.2,0.5716666666666667,,0.575,0.625,0.425,11.95,0.12275139710736105,30.698800051081466
4540,16,Pauli_Z_YY,0.7,0.4309401076758503,0.7166666666666667,,0.6,0.8,0.4,11.9,0.1509108780133257,16.14823398556318
4540,16,SVM_RBF_Fixed,0.675,0.3886751345948129,0.6416666666666667,,0.675,0.675,0.325,11.5,,
4540,16,Separable_Control,0.65,0.3386751345948129,0.6233333333333333,,0.6,0.7,0.4,11.8,0.056163028244283195,114.83803977741823
4540,16,ZZ_Linear,0.6625,0.34433756729740644,0.6783333333333333,,0.575,0.75,0.425,11.85,0.14907391776725876,19.664476093806012
4540,32,Custom_Domain,0.49375,-0.006582764103728428,0.5295093795093795,0.50625,0.4,0.5875,0.6,23.6,0.02025750342151035,341.3757967053301
4540,32,Pauli_Z_YY,0.59375,0.20104529300880708,0.595966810966811,0.6375,0.5625,0.625,0.4375,22.0,0.02852571858150775,144.1559938320533
4540,32,SVM_RBF_Fixed,0.68125,0.3700570138457038,0.7039141414141414,0.725,0.6,0.7625,0.4,21.8,,
4540,32,Separable_Control,0.4,-0.208786847307778,0.36897907647907646,0.446875,0.375,0.425,0.625,23.85,0.00987940278372125,1168.6689949610636
4540,32,ZZ_Linear,0.54375,0.10316605871242909,0.5645923520923521,0.575,0.475,0.6125,0.525,22.9,0.02989445125843575,157.48793519918158
4540,64,Custom_Domain,0.546875,0.10168656762804888,0.5677192982456141,0.590625,0.48125,0.6125,0.51875,44.7,0.0071718937377340496,1899.262321577161
4540,64,Pauli_Z_YY,0.571875,0.15110487517620563,0.5791713510947256,0.58203125,0.5375,0.60625,0.4625,45.05,0.007653770594742549,998.2404099596912
4540,64,SVM_RBF_Fixed,0.578125,0.16605574635960432,0.5707335835818808,0.5984375,0.5875,0.56875,0.4125,43.85,,
4540,64,Separable_Control,0.5625,0.13206693293508692,0.55099899541463,0.60859375,0.55,0.575,0.45,44.6,0.001699933246065,13268.369480543277
4540,64,ZZ_Linear,0.559375,0.12232473788379913,0.5540324415866211,0.56640625,0.55625,0.5625,0.44375,45.65,0.0086241568542189,1001.7368745068466
4541,16,Custom_Domain,0.4375,-0.13660254037844388,0.3283333333333333,,0.525,0.35,0.475,12.0,0.162171761797887,25.550503348934953
4541,16,Pauli_Z_YY,0.5,0.0,0.515,,0.375,0.625,0.625,12.0,0.20331702976251936,12.054632167524684
4541,16,SVM_RBF_Fixed,0.3,-0.4386751345948129,0.13666666666666666,,0.425,0.175,0.575,12.0,,
4541,16,Separable_Control,0.3375,-0.35980762113533166,0.31,,0.3,0.375,0.7,12.0,0.0811189448769311,75.96840975613983
