Feature_Map,i,j,Sample_ID_i,Sample_ID_j,Optimisation_Level,Target_2Q_Gate,Valid_H2,P0000_Qiskit,P0000_Compiled,Equivalence_Error,Compiled_Total_Gates,Compiled_1Q_Gates,Compiled_2Q_Gates,Compiled_ZZPhase,Compiled_ZZMax,Compiled_TK2,Compiled_Depth,Compiled_2Q_Depth
ZZ_Linear,4,13,WP_1242,WP_0101,2,ZZPhase,True,0.24032551857066187,0.24032551857066142,4.440892098500626e-16,23,18,5,5,0,0,12,5
ZZ_Linear,4,14,WP_1242,WP_1458,2,ZZPhase,True,0.06555123870509454,0.06555123870509437,1.6653345369377348e-16,19,14,5,5,0,0,10,5
ZZ_Linear,4,15,WP_1242,WP_1713,2,ZZPhase,True,0.42486490573215147,0.42486490573215263,1.1657341758564144e-15,20,15,5,5,0,0,11,5
ZZ_Linear,5,6,WP_0970,WP_0376,2,ZZPhase,True,0.22683098064748075,0.22683098064748056,1.942890293094024e-16,20,15,5,5,0,0,10,5
ZZ_Linear,5,7,WP_0970,WP_1377,2,ZZPhase,True,0.1501440627486434,0.15014406274864386,4.718447854656915e-16,20,15,5,5,0,0,10,5
ZZ_Linear,5,8,WP_0970,WP_0829,2,ZZPhase,True,0.3638317709677371,0.3638317709677372,1.1102230246251565e-16,20,15,5,5,0,0,10,5
ZZ_Linear,5,9,WP_0970,WP_0433,2,ZZPhase,True,0.12318027400167737,0.12318027400167733,4.163336342344337e-17,19,14,5,5,0,0,9,5
ZZ_Linear,5,10,WP_0970,WP_0579,2,ZZPhase,True,0.16179832304301928,0.16179832304301847,8.049116928532385e-16,22,17,5,5,0,0,11,5
ZZ_Linear,5,11,WP_0970,WP_1409,2,ZZPhase,True,0.08198088951326081,0.08198088951326135,5.412337245047638e-16,17,12,5,5,0,0,8,5
ZZ_Linear,5,12,WP_0970,WP_1720,2,ZZPhase,True,0.09991963882796538,0.09991963882796542,4.163336342344337e-17,19,14,5,5,0,0,10,5
ZZ_Linear,5,13,WP_0970,WP_0101,2,ZZPhase,True,0.06445673981276182,0.0644567398127619,8.326672684688674e-17,21,16,5,5,0,0,10,5
ZZ_Linear,5,14,WP_0970,WP_1458,2,ZZPhase,True,0.11530113968803944,0.11530113968803986,4.163336342344337e-16,19,14,5,5,0,0,10,5
ZZ_Linear,5,15,WP_0970,WP_1713,2,ZZPhase,True,0.7282801865646099,0.7282801865646115,1.5543122344752192e-15,20,15,5,5,0,0,11,5
ZZ_Linear,6,7,WP_0376,WP_1377,2,ZZPhase,True,0.25179283877351893,0.25179283877352127,2.3314683517128287e-15,21,16,5,5,0,0,11,5
ZZ_Linear,6,8,WP_0376,WP_0829,2,ZZPhase,True,0.012953923114303892,0.01295392311430392,2.7755575615628914e-17,19,14,5,5,0,0,9,5
ZZ_Linear,6,9,WP_0376,WP_0433,2,ZZPhase,True,0.11083643622949867,0.11083643622949882,1.5265566588595902e-16,20,15,5,5,0,0,10,5
