Seed,N,Subset_Key,Split_Number,Repeat,Fold,Model,Feature_Map,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number,Elapsed_Seconds,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,TN,FP,FN,TP
4524,16,S4524_N16,7,2,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08943325259959953,67.98269128539832,0.029283761978149414,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,7,2,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.20122852468518926,12.146566236673907,0.04564166069030762,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.22722825060411742,16.422711901718095,0.03582596778869629,0.5,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,8,2,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.17288609701233354,12.579999499693395,0.05319809913635254,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.010887861251831055,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0655501813621812,93.34146787927732,0.028326988220214844,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
4524,16,S4524_N16,8,2,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.24841872618663638,10.36329935571324,0.05137300491333008,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,9,3,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.20348688277952376,19.891222910329226,0.03676867485046387,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.14427995219830678,14.408555232569775,0.06577086448669434,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.01082921028137207,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.07381562738878684,86.1897834060444,0.02950906753540039,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,9,3,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.23430601097301956,9.856322418149587,0.08915042877197266,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,10,3,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.11313414997085579,32.13648981391403,0.05680346488952637,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,10,3,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1266283683623384,20.628880349374842,0.058272600173950195,0.25,-0.5773502691896258,0.4,0.25,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,10,3,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011971473693847656,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,10,3,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.04992424305111573,120.47384008417376,0.03141641616821289,0.5,0.0,0.6666666666666666,0.75,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,10,3,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.17382303738368396,15.2826041439029,0.043074607849121094,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,11,3,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.16903048168899312,23.56423707938636,0.04902815818786621,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,11,3,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.23147794037583858,11.370200243004993,0.08346676826477051,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,11,3,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011224746704101562,0.25,-0.5773502691896258,0.0,0.5,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,11,3,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.1125747951113316,53.39565935929495,0.03243064880371094,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,11,3,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2584015708630913,10.939497851771975,0.058144330978393555,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,12,3,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.22258536692299122,18.500603362152138,0.09576416015625,0.5,0.0,0.6666666666666666,0.5,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,12,3,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.21537961503467978,10.80757011667586,0.091888427734375,0.5,0.0,0.6666666666666666,0.75,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,12,3,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011219263076782227,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,12,3,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.06375867445712417,97.75357803686781,0.036722421646118164,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,12,3,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2221695463652109,11.333494021875817,0.046174049377441406,0.25,-0.5773502691896258,0.4,0.5,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,13,4,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.10928211296524487,33.26198717863376,0.08398842811584473,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,13,4,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.13234515813553197,19.18302341822609,0.12312960624694824,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,13,4,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.01648879051208496,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,13,4,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.06114118697089471,101.63044402795433,0.08111119270324707,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,13,4,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.143220779061655,19.172284852103896,0.14430761337280273,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,14,4,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.17351436137980256,21.364836397367604,0.12337136268615723,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.19918857977702653,10.934292878174702,0.15754270553588867,0.75,0.5773502691896258,0.6666666666666666,0.75,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,14,4,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0263063907623291,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.07436006565616045,83.96630287838599,0.057212114334106445,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,14,4,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.28191126977394965,8.347983326366073,0.09447789192199707,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,15,4,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.18253268189677674,21.31869870883217,0.07662653923034668,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,15,4,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2526102516956053,8.53915022205571,0.1351606845855713,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,15,4,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.033466339111328125,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,15,4,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08590925268480427,72.92537063665826,0.0847771167755127,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,15,4,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2953446143285292,7.820513368098751,0.16685009002685547,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,16,4,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.14571247735819404,28.40317115222154,0.10258769989013672,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,16,4,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.19005407767209415,14.069329654315258,0.11669921875,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,16,4,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.023181438446044922,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,16,4,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.09783679165450117,60.855234788282765,0.060707807540893555,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,16,4,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.19053206464836114,14.48606343638037,0.08374238014221191,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,17,5,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1337927353219635,32.230810300238154,0.034026145935058594,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,17,5,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.17081173831373456,16.18826178486818,0.06529927253723145,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,17,5,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.05154848098754883,0.75,0.5773502691896258,0.8,0.75,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,17,5,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08817370292695655,67.36361414077352,0.06294560432434082,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,17,5,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.18824989082751428,14.922119802756301,0.11248421669006348,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,18,5,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.15096077965929697,26.472706544780458,0.05072331428527832,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,18,5,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1431196151097641,18.04776235457515,0.09815216064453125,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.013746023178100586,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.07874340445185737,78.3307781212561,0.027791261672973633,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,18,5,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.16314570914758958,17.060095943150046,0.05505013465881348,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,19,5,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1793975825505229,19.97430059502654,0.1133275032043457,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,19,5,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2913083677721018,7.0688025147267926,0.2133479118347168,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,19,5,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.030974149703979492,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,19,5,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.060599863614234147,102.15003737032414,0.07683897018432617,0.5,0.0,0.6666666666666666,0.25,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,19,5,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.3337122642560201,7.144969098349508,0.11109519004821777,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,20,5,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.17351436137980256,21.364836397367604,0.05282783508300781,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,20,5,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.19918857977702653,10.934292878174702,0.13007712364196777,0.75,0.5773502691896258,0.6666666666666666,0.75,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,20,5,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.04271841049194336,0.5,0.0,0.0,0.75,1.0,0.0,0.0,2,0,2,0
