Shots,Repetition,Random_Seed,Split_Number,Train_Lambda_Min,Negative_Eigenvalues,PSD_Raw,Prediction_Change_Rate,Exact_BA,Shot_BA,Delta_BA,Exact_MCC,Shot_MCC,Delta_MCC,Exact_F1,Shot_F1,Delta_F1,Exact_Specificity,Shot_Specificity,Delta_Specificity,Exact_Unsafe_Acceptance,Shot_Unsafe_Acceptance,Delta_Unsafe_Acceptance
1024,10,102414526,2,0.12169933845787043,0,True,0.0,0.25,0.25,0.0,-0.5773502691896258,-0.5773502691896258,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,1,25605527,3,0.1598453701007043,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,2,25606527,3,0.11708694171080322,0,True,0.25,0.75,0.5,-0.25,0.5773502691896258,0.0,-0.5773502691896258,0.8,0.5,-0.30000000000000004,0.5,0.5,0.0,0.5,0.5,0.0
256,3,25607527,3,0.1671345802316729,0,True,0.25,0.75,0.5,-0.25,0.5773502691896258,0.0,-0.5773502691896258,0.8,0.5,-0.30000000000000004,0.5,0.5,0.0,0.5,0.5,0.0
256,4,25608527,3,0.12147998530345899,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,5,25609527,3,0.1405187316609601,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
256,6,25610527,3,0.14022981402519039,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,7,25611527,3,0.15140882225434452,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,8,25612527,3,0.10343782299952269,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
256,9,25613527,3,0.0875099008821689,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
