Seed,N,Split_Number,Kernel_A,Kernel_B,Centered_Kernel_Similarity
4524,32,15,ZZ_Linear,Pauli_Z_YY,0.9697795896294142
4524,32,15,ZZ_Linear,Custom_Domain,0.78441822296506
4524,32,15,Pauli_Z_YY,Custom_Domain,0.7651310528703679
4524,32,16,Separable_Control,ZZ_Linear,0.7124880580489894
4524,32,16,Separable_Control,Pauli_Z_YY,0.7030230181343771
4524,32,16,Separable_Control,Custom_Domain,0.669785911238308
4524,32,16,ZZ_Linear,Pauli_Z_YY,0.9608875257743947
4524,32,16,ZZ_Linear,Custom_Domain,0.7525450985020861
4524,32,16,Pauli_Z_YY,Custom_Domain,0.7365250060435531
4524,32,17,Separable_Control,ZZ_Linear,0.7140209522512938
4524,32,17,Separable_Control,Pauli_Z_YY,0.7211063873634114
4524,32,17,Separable_Control,Custom_Domain,0.6742238927844455
4524,32,17,ZZ_Linear,Pauli_Z_YY,0.9560172952859872
4524,32,17,ZZ_Linear,Custom_Domain,0.7386912040710972
4524,32,17,Pauli_Z_YY,Custom_Domain,0.7346533310097829
4524,32,18,Separable_Control,ZZ_Linear,0.7081451678986155
4524,32,18,Separable_Control,Pauli_Z_YY,0.6940546382435575
4524,32,18,Separable_Control,Custom_Domain,0.6709678075366489
4524,32,18,ZZ_Linear,Pauli_Z_YY,0.9671321676537052
4524,32,18,ZZ_Linear,Custom_Domain,0.7924170075445914
4524,32,18,Pauli_Z_YY,Custom_Domain,0.7591121424947049
4524,32,19,Separable_Control,ZZ_Linear,0.7003466554391139
4524,32,19,Separable_Control,Pauli_Z_YY,0.6977911283847282
4524,32,19,Separable_Control,Custom_Domain,0.6658142432690308
4524,32,19,ZZ_Linear,Pauli_Z_YY,0.950645335555263
4524,32,19,ZZ_Linear,Custom_Domain,0.7076702059034974
4524,32,19,Pauli_Z_YY,Custom_Domain,0.7070759427607866
4524,32,20,Separable_Control,ZZ_Linear,0.7443061129970224
4524,32,20,Separable_Control,Pauli_Z_YY,0.7405111245086567
4524,32,20,Separable_Control,Custom_Domain,0.7476712273676782
4524,32,20,ZZ_Linear,Pauli_Z_YY,0.9572123640151121
4524,32,20,ZZ_Linear,Custom_Domain,0.7516622359383653
4524,32,20,Pauli_Z_YY,Custom_Domain,0.7231669356187793
4524,64,1,Separable_Control,ZZ_Linear,0.5865997556110153
4524,64,1,Separable_Control,Pauli_Z_YY,0.5863905123648242
4524,64,1,Separable_Control,Custom_Domain,0.6233679872599212
4524,64,1,ZZ_Linear,Pauli_Z_YY,0.9292337284777079
4524,64,1,ZZ_Linear,Custom_Domain,0.6571020156114659
4524,64,1,Pauli_Z_YY,Custom_Domain,0.6323463620929313
4524,64,2,Separable_Control,ZZ_Linear,0.5894055312796331
4524,64,2,Separable_Control,Pauli_Z_YY,0.5962580000890202
4524,64,2,Separable_Control,Custom_Domain,0.5899396532201711
4524,64,2,ZZ_Linear,Pauli_Z_YY,0.9467238070535664
4524,64,2,ZZ_Linear,Custom_Domain,0.6372786519223981
4524,64,2,Pauli_Z_YY,Custom_Domain,0.6374596903218188
4524,64,3,Separable_Control,ZZ_Linear,0.6135247617835333
4524,64,3,Separable_Control,Pauli_Z_YY,0.6124729931653604
4524,64,3,Separable_Control,Custom_Domain,0.5984795340704036
4524,64,3,ZZ_Linear,Pauli_Z_YY,0.9279513217524512
4524,64,3,ZZ_Linear,Custom_Domain,0.7085157959134967
4524,64,3,Pauli_Z_YY,Custom_Domain,0.6952955382180527
4524,64,4,Separable_Control,ZZ_Linear,0.5954245234866993
4524,64,4,Separable_Control,Pauli_Z_YY,0.609604411964349
4524,64,4,Separable_Control,Custom_Domain,0.5905587526951975
4524,64,4,ZZ_Linear,Pauli_Z_YY,0.9354017414851657
4524,64,4,ZZ_Linear,Custom_Domain,0.6738639870511657
4524,64,4,Pauli_Z_YY,Custom_Domain,0.6708058039309196
4524,64,5,Separable_Control,ZZ_Linear,0.6028436167840961
4524,64,5,Separable_Control,Pauli_Z_YY,0.6136989829747351
4524,64,5,Separable_Control,Custom_Domain,0.5862309707084523
4524,64,5,ZZ_Linear,Pauli_Z_YY,0.9406276795568629
4524,64,5,ZZ_Linear,Custom_Domain,0.6569745873906158
4524,64,5,Pauli_Z_YY,Custom_Domain,0.6525331005612212
4524,64,6,Separable_Control,ZZ_Linear,0.6045639058838229
4524,64,6,Separable_Control,Pauli_Z_YY,0.6095181309727011
4524,64,6,Separable_Control,Custom_Domain,0.6134949241462543
4524,64,6,ZZ_Linear,Pauli_Z_YY,0.9263542573889241
4524,64,6,ZZ_Linear,Custom_Domain,0.7049516989081881
4524,64,6,Pauli_Z_YY,Custom_Domain,0.7003513295158089
4524,64,7,Separable_Control,ZZ_Linear,0.577945612431727
4524,64,7,Separable_Control,Pauli_Z_YY,0.5881307493462609
4524,64,7,Separable_Control,Custom_Domain,0.6115089551143665
4524,64,7,ZZ_Linear,Pauli_Z_YY,0.9309504596115403
4524,64,7,ZZ_Linear,Custom_Domain,0.6552631848931065
4524,64,7,Pauli_Z_YY,Custom_Domain,0.6475496994853299
4524,64,8,Separable_Control,ZZ_Linear,0.617072980729129
4524,64,8,Separable_Control,Pauli_Z_YY,0.6173742757884099
4524,64,8,Separable_Control,Custom_Domain,0.5879385215271811
4524,64,8,ZZ_Linear,Pauli_Z_YY,0.945858270128017
4524,64,8,ZZ_Linear,Custom_Domain,0.6576279517058959
4524,64,8,Pauli_Z_YY,Custom_Domain,0.6426170518935921
4524,64,9,Separable_Control,ZZ_Linear,0.6049451784125801
4524,64,9,Separable_Control,Pauli_Z_YY,0.609367132844994
4524,64,9,Separable_Control,Custom_Domain,0.6344888215083294
4524,64,9,ZZ_Linear,Pauli_Z_YY,0.9366302212769931
4524,64,9,ZZ_Linear,Custom_Domain,0.6728172427488829
4524,64,9,Pauli_Z_YY,Custom_Domain,0.6574599386662277
4524,64,10,Separable_Control,ZZ_Linear,0.6053727208596822
4524,64,10,Separable_Control,Pauli_Z_YY,0.6132230656663784
4524,64,10,Separable_Control,Custom_Domain,0.5805304657702003
4524,64,10,ZZ_Linear,Pauli_Z_YY,0.9491315434643793
4524,64,10,ZZ_Linear,Custom_Domain,0.6547071185059806
4524,64,10,Pauli_Z_YY,Custom_Domain,0.6453039660951587
4524,64,11,Separable_Control,ZZ_Linear,0.6072273657654224
4524,64,11,Separable_Control,Pauli_Z_YY,0.6049981970596846
4524,64,11,Separable_Control,Custom_Domain,0.5900260489537918
4524,64,11,ZZ_Linear,Pauli_Z_YY,0.9335240485362258
4524,64,11,ZZ_Linear,Custom_Domain,0.6709244253381134
4524,64,11,Pauli_Z_YY,Custom_Domain,0.6652105023587112
4524,64,12,Separable_Control,ZZ_Linear,0.6065657427225618
4524,64,12,Separable_Control,Pauli_Z_YY,0.6108585746692974
4524,64,12,Separable_Control,Custom_Domain,0.5974705459306452
4524,64,12,ZZ_Linear,Pauli_Z_YY,0.9270429338465149
4524,64,12,ZZ_Linear,Custom_Domain,0.6899151432490727
4524,64,12,Pauli_Z_YY,Custom_Domain,0.6752259522494909
4524,64,13,Separable_Control,ZZ_Linear,0.5850032107251433
4524,64,13,Separable_Control,Pauli_Z_YY,0.5925028586951865
4524,64,13,Separable_Control,Custom_Domain,0.5899377012117538
4524,64,13,ZZ_Linear,Pauli_Z_YY,0.9372868631591601
4524,64,13,ZZ_Linear,Custom_Domain,0.6402937303974401
4524,64,13,Pauli_Z_YY,Custom_Domain,0.635237062535622
4524,64,14,Separable_Control,ZZ_Linear,0.5920734408895166
4524,64,14,Separable_Control,Pauli_Z_YY,0.5903695209465107
4524,64,14,Separable_Control,Custom_Domain,0.6107829512254288
4524,64,14,ZZ_Linear,Pauli_Z_YY,0.9261356464075395
4524,64,14,ZZ_Linear,Custom_Domain,0.6465007906074416
4524,64,14,Pauli_Z_YY,Custom_Domain,0.6348879711832957
4524,64,15,Separable_Control,ZZ_Linear,0.6072537115403658
4524,64,15,Separable_Control,Pauli_Z_YY,0.6090936327887946
4524,64,15,Separable_Control,Custom_Domain,0.5874669856531523
4524,64,15,ZZ_Linear,Pauli_Z_YY,0.9275576979601957
4524,64,15,ZZ_Linear,Custom_Domain,0.6804239671812098
4524,64,15,Pauli_Z_YY,Custom_Domain,0.6712692257045952
4524,64,16,Separable_Control,ZZ_Linear,0.611192754394296
4524,64,16,Separable_Control,Pauli_Z_YY,0.6272942525988351
4524,64,16,Separable_Control,Custom_Domain,0.6193784444353387
4524,64,16,ZZ_Linear,Pauli_Z_YY,0.9416657300868674
4524,64,16,ZZ_Linear,Custom_Domain,0.7101266818658809
4524,64,16,Pauli_Z_YY,Custom_Domain,0.6974800257301496
4524,64,17,Separable_Control,ZZ_Linear,0.5978029286870099
4524,64,17,Separable_Control,Pauli_Z_YY,0.6065840692163044
4524,64,17,Separable_Control,Custom_Domain,0.5901360890430892
4524,64,17,ZZ_Linear,Pauli_Z_YY,0.9280677345381178
4524,64,17,ZZ_Linear,Custom_Domain,0.6665539852326885
4524,64,17,Pauli_Z_YY,Custom_Domain,0.6683884327080312
4524,64,18,Separable_Control,ZZ_Linear,0.5992627421959281
4524,64,18,Separable_Control,Pauli_Z_YY,0.6019127067587355
4524,64,18,Separable_Control,Custom_Domain,0.6035697444687088
4524,64,18,ZZ_Linear,Pauli_Z_YY,0.9372788213312726
4524,64,18,ZZ_Linear,Custom_Domain,0.6745825422558086
4524,64,18,Pauli_Z_YY,Custom_Domain,0.6680584449417166
4524,64,19,Separable_Control,ZZ_Linear,0.5769576304356007
4524,64,19,Separable_Control,Pauli_Z_YY,0.5807686734401946
4524,64,19,Separable_Control,Custom_Domain,0.5935104424820401
4524,64,19,ZZ_Linear,Pauli_Z_YY,0.9281596175243125
4524,64,19,ZZ_Linear,Custom_Domain,0.6622153103451629
4524,64,19,Pauli_Z_YY,Custom_Domain,0.651108578349308
4524,64,20,Separable_Control,ZZ_Linear,0.605457266324907
4524,64,20,Separable_Control,Pauli_Z_YY,0.6110627504883891
4524,64,20,Separable_Control,Custom_Domain,0.6461284890132523
4524,64,20,ZZ_Linear,Pauli_Z_YY,0.9454567715347924
4524,64,20,ZZ_Linear,Custom_Domain,0.6702581629516765
4524,64,20,Pauli_Z_YY,Custom_Domain,0.644898802043149
