map,C,noise_level,kernel_mae,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
zz_ring_r1_robust,1.0,0.01,0.001082532462122063,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
zz_ring_r1_robust,1.0,0.03,0.0032475973863661843,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
zz_ring_r1_robust,1.0,0.05,0.005412662310610307,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
zz_full_r1_robust,1.0,0.01,0.0013766092751199893,0.6875,0.14657549249448218,0.6875,0.14657549249448218,0.7088528138528138,0.14993533991126792,0.675,0.24366985862022408,0.7,0.24366985862022408,0.6673763955342903,0.19636480691586364,0.38662156087872174,0.2839162511346487
zz_full_r1_robust,1.0,0.03,0.004129827825359958,0.6875,0.14657549249448218,0.6875,0.14657549249448218,0.7088528138528138,0.14993533991126792,0.675,0.24366985862022408,0.7,0.24366985862022408,0.6673763955342903,0.19636480691586364,0.38662156087872174,0.2839162511346487
zz_full_r1_robust,1.0,0.05,0.006883046375599928,0.6875,0.14657549249448218,0.6875,0.14657549249448218,0.7088528138528138,0.14993533991126792,0.675,0.24366985862022408,0.7,0.24366985862022408,0.6673763955342903,0.19636480691586364,0.38662156087872174,0.2839162511346487
pauli_z_zz_ring_r1_minmax,0.1,0.01,0.0018903925258405175,0.5875,0.03423265984407288,0.5875,0.03423265984407288,0.6478943278943279,0.19828525177116635,0.65,0.24044230077089182,0.525,0.2850438562747845,0.5906295149638803,0.1113390061492646,0.21142392934477322,0.10691033593828853
pauli_z_zz_ring_r1_minmax,0.1,0.03,0.005671177577521558,0.5875,0.03423265984407288,0.5875,0.03423265984407288,0.6478943278943279,0.19828525177116635,0.65,0.24044230077089182,0.525,0.2850438562747845,0.5906295149638803,0.1113390061492646,0.21142392934477322,0.10691033593828853
pauli_z_zz_ring_r1_minmax,0.1,0.05,0.00945196262920259,0.5875,0.03423265984407288,0.5875,0.03423265984407288,0.6478943278943279,0.19828525177116635,0.65,0.24044230077089182,0.525,0.2850438562747845,0.5906295149638803,0.1113390061492646,0.21142392934477322,0.10691033593828853
zz_ring_r2_robust,0.1,0.01,0.00039395857859758263,0.55,0.14921670482891652,0.55,0.14921670482891652,0.5549145299145299,0.13652575412691398,0.675,0.14252192813739223,0.425,0.2592055169165965,0.6024509803921568,0.1164976531569643,0.09909297230810636,0.31154866756379296
zz_ring_r2_robust,0.1,0.03,0.0011818757357927444,0.55,0.14921670482891652,0.55,0.14921670482891652,0.5549145299145299,0.13652575412691398,0.675,0.14252192813739223,0.425,0.2592055169165965,0.6024509803921568,0.1164976531569643,0.09909297230810636,0.31154866756379296
zz_ring_r2_robust,0.1,0.05,0.0019697928929879073,0.55,0.14921670482891652,0.55,0.14921670482891652,0.5549145299145299,0.13652575412691398,0.675,0.14252192813739223,0.425,0.2592055169165965,0.6024509803921568,0.1164976531569643,0.09909297230810636,0.31154866756379296
