Model,Split_Number,Repeat,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC,ROC_AUC,Specificity,Unsafe_Acceptance
Raw-9,14,3,4,0.735202492211838,0.7086967054263567,0.7115384615384616,0.5736434108527132,0.6351931330472103,0.4372648039194238,0.7501614987080103,0.84375,0.15625
Raw-9,15,3,5,0.6697819314641744,0.6501937984496124,0.5966386554621849,0.5503875968992248,0.5725806451612904,0.30491465670134127,0.6790213178294573,0.75,0.25
PCA-4,1,1,1,0.6180124223602484,0.5865384615384616,0.5339805825242718,0.4230769230769231,0.4721030042918455,0.1820626192939232,0.607411858974359,0.75,0.25
PCA-4,2,1,2,0.5807453416149069,0.5503205128205129,0.4766355140186916,0.3923076923076923,0.43037974683544306,0.10483015447438129,0.5624198717948719,0.7083333333333334,0.29166666666666663
PCA-4,3,1,3,0.5869565217391305,0.5468349358974359,0.4835164835164835,0.3384615384615385,0.39819004524886875,0.10206939256667559,0.5763221153846154,0.7552083333333334,0.24479166666666663
PCA-4,4,1,4,0.6012461059190031,0.5763687015503876,0.5043478260869565,0.4496124031007752,0.47540983606557374,0.15617385890596988,0.6139373385012921,0.703125,0.296875
PCA-4,5,1,5,0.5327102803738317,0.5089026162790697,0.4132231404958678,0.3875968992248062,0.4,0.01801297461466528,0.5290293927648579,0.6302083333333334,0.36979166666666663
PCA-4,6,2,1,0.5372670807453416,0.5163461538461538,0.424,0.4076923076923077,0.41568627450980394,0.03291393056835973,0.5453525641025642,0.625,0.375
PCA-4,7,2,2,0.593167701863354,0.5719150641025641,0.49586776859504134,0.46153846153846156,0.47808764940239046,0.14570734480464512,0.5935897435897436,0.6822916666666666,0.31770833333333337
PCA-4,8,2,3,0.5527950310559007,0.521915064102564,0.4351851851851852,0.36153846153846153,0.3949579831932773,0.045548729443441474,0.5178685897435897,0.6822916666666666,0.31770833333333337
PCA-4,9,2,4,0.5856697819314641,0.5620760658914729,0.4830508474576271,0.4418604651162791,0.46153846153846156,0.12624396553547415,0.5694444444444444,0.6822916666666666,0.31770833333333337
PCA-4,10,2,5,0.6105919003115264,0.585453003875969,0.5175438596491229,0.4573643410852713,0.48559670781893005,0.1750915553384125,0.6246770025839793,0.7135416666666666,0.28645833333333337
PCA-4,11,3,1,0.5869565217391305,0.5530448717948717,0.48514851485148514,0.3769230769230769,0.42424242424242425,0.11218605244676229,0.5973157051282051,0.7291666666666666,0.27083333333333337
PCA-4,12,3,2,0.531055900621118,0.5459134615384615,0.4426229508196721,0.6230769230769231,0.5175718849840255,0.09096186953344056,0.5572916666666667,0.46875,0.53125
PCA-4,13,3,3,0.5869565217391305,0.5865785256410256,0.49032258064516127,0.5846153846153846,0.5333333333333333,0.1700350241325499,0.5828125,0.5885416666666666,0.41145833333333337
PCA-4,14,3,4,0.5856697819314641,0.5671632751937985,0.48412698412698413,0.4728682170542636,0.47843137254901963,0.1348667068546114,0.6183381782945736,0.6614583333333334,0.33854166666666663
PCA-4,15,3,5,0.557632398753894,0.5462693798449612,0.45323741007194246,0.4883720930232558,0.4701492537313433,0.09156427260369712,0.554828811369509,0.6041666666666666,0.39583333333333337
Chem-4,1,1,1,0.5434782608695652,0.5526041666666667,0.4508670520231214,0.6,0.5148514851485149,0.10352762366213875,0.5677483974358974,0.5052083333333334,0.49479166666666663
Chem-4,2,1,2,0.5590062111801242,0.5681089743589745,0.46511627906976744,0.6153846153846154,0.5298013245033113,0.1339820978497717,0.5663461538461538,0.5208333333333334,0.47916666666666663
Chem-4,3,1,3,0.515527950310559,0.5540064102564103,0.44144144144144143,0.7538461538461538,0.5568181818181818,0.1145304877193519,0.5868589743589744,0.3541666666666667,0.6458333333333333
Chem-4,4,1,4,0.5015576323987538,0.5375484496124031,0.42857142857142855,0.7209302325581395,0.5375722543352601,0.07867213535404607,0.5585432816537468,0.3541666666666667,0.6458333333333333
Chem-4,5,1,5,0.5389408099688473,0.5700702519379844,0.45410628019323673,0.7286821705426356,0.5595238095238095,0.14357259356948496,0.5650839793281653,0.4114583333333333,0.5885416666666667
Chem-4,6,2,1,0.468944099378882,0.5174278846153846,0.4149377593360996,0.7692307692307693,0.5390835579514824,0.03941358426998728,0.520713141025641,0.265625,0.734375
Chem-4,7,2,2,0.5527950310559007,0.5728365384615385,0.4631578947368421,0.676923076923077,0.55,0.14532415887252156,0.574198717948718,0.46875,0.53125
Chem-4,8,2,3,0.5,0.5360176282051282,0.4292237442922374,0.7230769230769231,0.5386819484240688,0.07577513645612821,0.5727964743589744,0.3489583333333333,0.6510416666666667
Chem-4,9,2,4,0.5669781931464174,0.5299176356589147,0.4489795918367347,0.34108527131782945,0.3876651982378855,0.06369968207409207,0.5641553617571059,0.71875,0.28125
Chem-4,10,2,5,0.5700934579439252,0.5872093023255813,0.47540983606557374,0.6744186046511628,0.5576923076923077,0.1727321541847195,0.5927406330749354,0.5,0.5
Chem-4,11,3,1,0.531055900621118,0.5546073717948719,0.4467005076142132,0.676923076923077,0.5382262996941896,0.10995511608988802,0.5672676282051282,0.4322916666666667,0.5677083333333333
Chem-4,12,3,2,0.5496894409937888,0.5826522435897435,0.46445497630331756,0.7538461538461538,0.5747800586510264,0.17064918406026183,0.5939903846153847,0.4114583333333333,0.5885416666666667
Chem-4,13,3,3,0.4503105590062112,0.5117387820512821,0.41064638783269963,0.8307692307692308,0.549618320610687,0.029776348958179516,0.5699118589743589,0.19270833333333334,0.8072916666666666
Chem-4,14,3,4,0.5794392523364486,0.5861191860465116,0.4819277108433735,0.6201550387596899,0.5423728813559322,0.16898785309810885,0.6056605297157622,0.5520833333333334,0.44791666666666663
Chem-4,15,3,5,0.5264797507788161,0.5418483527131783,0.4371584699453552,0.6201550387596899,0.5128205128205128,0.08288744343169525,0.5499031007751938,0.4635416666666667,0.5364583333333333
