map,C,noise_level,kernel_mae,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
zz_linear_r1_robust,1.0,0.03,0.0029806117032461,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
zz_linear_r1_robust,1.0,0.05,0.0049676861720769,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
pauli_z_zz_ring_r1_robust,1.0,0.01,0.0009917198983164,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
pauli_z_zz_ring_r1_robust,1.0,0.03,0.0029751596949492,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
pauli_z_zz_ring_r1_robust,1.0,0.05,0.0049585994915821,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_ring_r1_robust,1.0,0.01,0.0009917198983164,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_ring_r1_robust,1.0,0.03,0.0029751596949492,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_ring_r1_robust,1.0,0.05,0.0049585994915821,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_full_r1_robust,1.0,0.01,0.0012954329093192,0.55,0.1492167048289165,0.55,0.1492167048289165,0.5284920634920636,0.1479292482379768,0.55,0.243669858620224,0.55,0.0684653196881457,0.5353454715219421,0.1938058413184345,0.1016397779494322,0.3065640808914653
zz_full_r1_robust,1.0,0.03,0.0038862987279576,0.55,0.1492167048289165,0.55,0.1492167048289165,0.5284920634920636,0.1479292482379768,0.55,0.243669858620224,0.55,0.0684653196881457,0.5353454715219421,0.1938058413184345,0.1016397779494322,0.3065640808914653
zz_full_r1_robust,1.0,0.05,0.0064771645465961,0.55,0.1492167048289165,0.55,0.1492167048289165,0.5284920634920636,0.1479292482379768,0.55,0.243669858620224,0.55,0.0684653196881457,0.5353454715219421,0.1938058413184345,0.1016397779494322,0.3065640808914653
pauli_xz_xxzz_linear_r1_robust,10.0,0.01,0.0026156094493656,0.6,0.1629800601300662,0.6,0.1629800601300662,0.6,0.1629800601300662,0.625,0.1767766952966369,0.575,0.2091650066335189,0.6079365079365079,0.1652826606111937,0.2,0.3259601202601324
pauli_xz_xxzz_linear_r1_robust,10.0,0.03,0.0078468283480969,0.6125,0.1492167048289165,0.6125,0.1492167048289165,0.6094877344877345,0.1507827545308225,0.675,0.1425219281373922,0.55,0.2091650066335189,0.6367406260749915,0.1382308063402509,0.2273632575664266,0.2974716774214663
pauli_xz_xxzz_linear_r1_robust,10.0,0.05,0.0130780472468281,0.6125,0.1118033988749894,0.6125,0.1118033988749894,0.615007215007215,0.1357740907389513,0.675,0.1118033988749894,0.55,0.2091650066335189,0.6369453044375645,0.0996901888136642,0.2303194097346987,0.2234389807264864
pauli_z_zz_ring_r1_minmax,1.0,0.01,0.0017661610860555,0.525,0.1568737549751391,0.525,0.1568737549751391,0.5279365079365079,0.1446812553818086,0.6,0.1629800601300662,0.45,0.2270737765573119,0.5574509803921568,0.1454645609253264,0.0435094879625726,0.3249156252137642
pauli_z_zz_ring_r1_minmax,1.0,0.03,0.0052984832581667,0.525,0.1568737549751391,0.525,0.1568737549751391,0.5279365079365079,0.1446812553818086,0.6,0.1629800601300662,0.45,0.2270737765573119,0.5574509803921568,0.1454645609253264,0.0435094879625726,0.3249156252137642
pauli_z_zz_ring_r1_minmax,1.0,0.05,0.0088308054302778,0.525,0.1568737549751391,0.525,0.1568737549751391,0.5279365079365079,0.1446812553818086,0.6,0.1629800601300662,0.45,0.2270737765573119,0.5574509803921568,0.1454645609253264,0.0435094879625726,0.3249156252137642
