Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC,ROC_AUC,Specificity,Unsafe_Acceptance,TN,FP,FN,TP,Split,Model,Kernel_Lambda_Min,Support_Vectors,PSD_Regularized
0.6153846153846154,0.6071428571428572,0.625,0.7142857142857143,0.6666666666666666,0.21957751641341997,0.5238095238095238,0.5,0.5,3,3,2,5,7,QSVM_Custom,0.006340876372400302,51,False
0.6923076923076923,0.6785714285714286,0.6666666666666666,0.8571428571428571,0.75,0.38575837490522974,0.6666666666666667,0.5,0.5,3,3,1,6,7,SVM_RBF,,47,False
0.6153846153846154,0.6071428571428572,0.6,0.5,0.5454545454545454,0.21957751641341997,0.5714285714285714,0.7142857142857143,0.2857142857142857,5,2,3,3,8,QSVM_Custom,0.0024701122606016843,50,False
0.7692307692307693,0.7738095238095238,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5476190476190477,0.7380952380952381,0.7142857142857143,0.2857142857142857,5,2,1,5,8,SVM_RBF,,50,False
0.7692307692307693,0.7619047619047619,0.8,0.6666666666666666,0.7272727272727273,0.5367450401216932,0.6904761904761905,0.8571428571428571,0.1428571428571429,6,1,2,4,9,QSVM_Custom,0.0037118881499773443,51,False
0.6923076923076923,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4605661864718383,0.738095238095238,1.0,0.0,7,0,4,2,9,SVM_RBF,,49,False
0.75,0.75,0.8,0.6666666666666666,0.7272727272727273,0.50709255283711,0.8333333333333333,0.8333333333333334,0.16666666666666663,5,1,2,4,10,QSVM_Custom,0.007535025303949631,49,False
0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.1690308509457033,0.6111111111111112,0.5,0.5,3,3,2,4,10,SVM_RBF,,44,False
0.3076923076923077,0.3214285714285714,0.25,0.14285714285714285,0.18181818181818182,-0.38575837490522974,0.38095238095238093,0.5,0.5,3,3,6,1,11,QSVM_Custom,0.002379296725378105,50,False
0.6153846153846154,0.5952380952380952,0.6,0.8571428571428571,0.7058823529411765,0.2253744679276044,0.5714285714285714,0.3333333333333333,0.6666666666666667,2,4,1,6,11,SVM_RBF,,49,False
0.38461538461538464,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.23809523809523808,0.3333333333333333,0.3333333333333333,0.6666666666666667,2,4,4,3,12,QSVM_Custom,0.003458320888362393,48,False
0.6153846153846154,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.23809523809523808,0.6190476190476191,0.6666666666666666,0.33333333333333337,4,2,3,4,12,SVM_RBF,,49,False
0.46153846153846156,0.4642857142857143,0.42857142857142855,0.5,0.46153846153846156,-0.07142857142857142,0.5476190476190477,0.42857142857142855,0.5714285714285714,3,4,3,3,13,QSVM_Custom,0.008190799602467087,49,False
0.6153846153846154,0.5952380952380952,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.2253744679276044,0.6428571428571428,0.8571428571428571,0.1428571428571429,6,1,4,2,13,SVM_RBF,,45,False
0.38461538461538464,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.23809523809523808,0.28571428571428575,0.42857142857142855,0.5714285714285714,3,4,4,2,14,QSVM_Custom,0.00924690984370837,47,False
0.5384615384615384,0.5357142857142857,0.5,0.5,0.5,0.07142857142857142,0.4285714285714286,0.5714285714285714,0.4285714285714286,4,3,3,3,14,SVM_RBF,,43,False
0.5833333333333334,0.5833333333333334,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.19245008972987526,0.5833333333333334,0.3333333333333333,0.6666666666666667,2,4,1,5,15,QSVM_Custom,0.0036892597132476656,52,False
0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.1690308509457033,0.6388888888888888,0.5,0.5,3,3,2,4,15,SVM_RBF,,47,False
0.5384615384615384,0.5476190476190476,0.6,0.42857142857142855,0.5,0.09759000729485333,0.5714285714285714,0.6666666666666666,0.33333333333333337,4,2,4,3,16,QSVM_Custom,0.0030886633080718434,51,False
