number,value,datetime_start,datetime_complete,duration,params_C,params_cleaning_neighbors,params_feature_mode,params_gamma,params_geometry_clusters,params_geometry_neighbors,params_imputer,params_local_geometry,params_sampling_strategy_name,params_scaler,params_smote_neighbors,params_smote_ratio,params_winsor_mode,user_attrs_mean_average_precision,user_attrs_mean_roc_auc,user_attrs_std_average_precision,state
32,0.5781793728322842,2026-07-21 21:40:19.671083,2026-07-21 21:40:33.252605,0 days 00:00:13.581522,45.954143635358555,,none,0.08161524832012239,,5.0,median_indicator,density_anomaly,class_weight_balanced,power,,,p01,0.5519585540079179,0.6502333051908163,0.0326160653050323,COMPLETE
33,0.5414879200344048,2026-07-21 21:40:33.257032,2026-07-21 21:40:43.446912,0 days 00:00:10.189880,33.34952016809952,,ratios,0.9624929532860572,,5.0,median,density_anomaly,class_weight_balanced,robust,,,p01,0.5101328183767289,0.6224086378974902,0.02327644198552373,COMPLETE
34,0.5925907213650025,2026-07-21 21:40:43.450595,2026-07-21 21:40:52.257811,0 days 00:00:08.807216,64.78522274298484,,full,0.0879294056602394,,7.0,median,density,class_weight_balanced,robust,,,p01,0.5682432313775271,0.6597529547768913,0.031054270323339055,COMPLETE
35,0.5983518639285256,2026-07-21 21:40:52.261443,2026-07-21 21:40:58.581787,0 days 00:00:06.320344,48.47302051923868,,none,0.18749873694723068,4.0,5.0,median,density_clusters,class_weight_balanced,robust,,,p01,0.5724008695844696,0.6688604811644245,0.029868891299305016,COMPLETE
36,0.5259958075263818,2026-07-21 21:40:58.585034,2026-07-21 21:41:09.818618,0 days 00:00:11.233584,64.23346144477914,,none,0.27949707431333304,,7.0,median,density_anomaly,class_weight_balanced,standard,,,p01,0.49302547589838824,0.61229709875339,0.028111552285069258,COMPLETE
37,0.584469835196092,2026-07-21 21:41:09.823370,2026-07-21 21:41:18.599239,0 days 00:00:08.775869,43.10983656179288,,none,0.4413717715037215,,7.0,median,density,tomek,robust,,,p025,0.5578062419723242,0.6535301037323714,0.020535653042464054,COMPLETE
38,0.5477306754471578,2026-07-21 21:41:18.605084,2026-07-21 21:41:31.405623,0 days 00:00:12.800539,41.6262219209157,,basic,0.12055671249176969,,5.0,median,density_anomaly,tomek,power,,,p01,0.5199876979713152,0.6206906378414583,0.024679044852003364,COMPLETE
39,0.5954981271915272,2026-07-21 21:41:31.410672,2026-07-21 21:41:41.423396,0 days 00:00:10.012724,20.91578189927556,,none,0.3419279240661953,,7.0,median_indicator,density_anomaly,smote,robust,5.0,0.6511490394536134,none,0.5702840364066469,0.6630099508885671,0.026036835596957273,COMPLETE
40,0.5846577170895231,2026-07-21 21:41:41.427047,2026-07-21 21:41:45.358306,0 days 00:00:03.931259,6.139268843393458,,basic,0.046957143181219366,,,median,none,smote,robust,3.0,0.7420583354766652,p025,0.5649146716528008,0.6383482813809445,0.022870374817208907,COMPLETE
41,0.6057671792354864,2026-07-21 21:41:45.364857,2026-07-21 21:41:53.952593,0 days 00:00:08.587736,21.208576754110172,,none,0.08397329806343565,,5.0,median,density_anomaly,tomek,robust,,,p025,0.5851673187396078,0.6610483973054395,0.02164463073870827,COMPLETE
42,0.6081073915575681,2026-07-21 21:41:53.957170,2026-07-21 21:42:03.448639,0 days 00:00:09.491469,50.39020931541636,,none,0.18259914143476205,,5.0,median,density_anomaly,tomek,robust,,,none,0.5827276958961962,0.6734512188328768,0.01837361219632255,COMPLETE
43,0.6155136280696425,2026-07-21 21:42:03.451997,2026-07-21 21:42:10.703200,0 days 00:00:07.251203,3.4525347882453046,,none,0.39747664951607115,,5.0,median,density_anomaly,tomek,robust,,,none,0.5915336236982293,0.6774856640415934,0.01805607731596011,COMPLETE
44,0.5904343007911803,2026-07-21 21:42:10.707812,2026-07-21 21:42:21.933393,0 days 00:00:11.225581,41.33176339443272,,none,0.4649889451068825,,5.0,median,density_anomaly,tomek,robust,,,none,0.5650097738483966,0.6595280736013727,0.02930962983108989,COMPLETE
45,0.5777951419359909,2026-07-21 21:42:21.936806,2026-07-21 21:42:29.364020,0 days 00:00:07.427214,29.554385950681013,3.0,none,0.067451364972736,,5.0,median,density_anomaly,ncr,power,,,none,0.5498424548275855,0.6526165783974535,0.028795499625549854,COMPLETE
46,0.6157323996827627,2026-07-21 21:42:29.368791,2026-07-21 21:42:38.155178,0 days 00:00:08.786387,1.2519747115129674,,none,0.09539784477077082,,5.0,median,density_anomaly,tomek,standard,,,none,0.5934544996663295,0.6743159024710694,0.019805208249886436,COMPLETE
47,0.6041782996908117,2026-07-21 21:42:38.159701,2026-07-21 21:42:45.148971,0 days 00:00:06.989270,22.178686098548024,,none,0.06874172516563265,,5.0,median,density_anomaly,tomek,robust,,,p025,0.5836877761015953,0.6592398519685799,0.021750991708789986,COMPLETE
48,0.4646498938964732,2026-07-21 21:42:45.151996,2026-07-21 21:42:53.568607,0 days 00:00:08.416611,0.35137159794642575,7.0,none,0.9936638530743768,,5.0,median,density_anomaly,ncr,standard,,,none,0.4255438571943578,0.5614710898767145,0.016721331025915564,COMPLETE
49,0.5929307235817671,2026-07-21 21:42:53.571344,2026-07-21 21:42:57.573803,0 days 00:00:04.002459,9.72290422838983,,basic,0.30950423209419375,,,median,none,tomek,robust,,,none,0.568193992041881,0.6574624162470822,0.020437957216742856,COMPLETE
50,0.5969974534837225,2026-07-21 21:42:57.576825,2026-07-21 21:43:05.056522,0 days 00:00:07.479697,0.5557936735603382,,full,0.06576721299229189,,5.0,median,density_anomaly,tomek,standard,,,none,0.5750584827678301,0.6580837543701248,0.02968610764796014,COMPLETE
51,0.5928840906060978,2026-07-21 21:43:05.062063,2026-07-21 21:43:13.120664,0 days 00:00:08.058601,3.254438839994426,,none,0.017548540169032373,,5.0,median_indicator,density_anomaly,tomek,standard,,,p025,0.5706906312681388,0.6503539062066641,0.01705523143598481,COMPLETE
52,0.5633674205391378,2026-07-21 21:43:13.127532,2026-07-21 21:43:23.266836,0 days 00:00:10.139304,0.25195227169673806,,basic,0.13269530271809343,,5.0,median,density_anomaly,smote,robust,9.0,0.8787603984104535,none,0.5412479062095091,0.6222630079848477,0.021850162029728778,COMPLETE
53,0.6098266001350546,2026-07-21 21:43:23.271595,2026-07-21 21:43:30.186594,0 days 00:00:06.914999,6.836790275809681,,none,0.024684990115489056,,5.0,median,density_anomaly,tomek,standard,,,none,0.5872472861432565,0.6686851773404905,0.01852053367371988,COMPLETE
54,0.5976146213468861,2026-07-21 21:43:30.189428,2026-07-21 21:43:40.431487,0 days 00:00:10.242059,29.31934828040649,,none,0.01898774014324631,,7.0,median,density_anomaly,smote,standard,7.0,0.9724227628926685,none,0.572947804377392,0.6616536634604717,0.01944940755429701,COMPLETE
55,0.6126698591262171,2026-07-21 21:43:40.434637,2026-07-21 21:43:47.569657,0 days 00:00:07.135020,3.092465261656041,,none,0.09287995906985039,,5.0,median,density_anomaly,tomek,standard,,,none,0.5888036644150813,0.6751806524013574,0.02046901684746936,COMPLETE
56,0.6026611618773613,2026-07-21 21:43:47.572806,2026-07-21 21:43:54.566699,0 days 00:00:06.993893,1.5482609395515086,,none,0.02901710373328042,5.0,5.0,median,density_clusters,tomek,standard,,,none,0.5814723003604956,0.6589386281837071,0.020510368300977026,COMPLETE
57,0.6144872483239121,2026-07-21 21:43:54.569622,2026-07-21 21:44:01.130320,0 days 00:00:06.560698,1.6226108724913926,,none,0.10024035165081117,,5.0,median,density_anomaly,tomek,standard,,,p01,0.5919298515449564,0.6741487264562336,0.021082656944273376,COMPLETE
58,0.5745172980665039,2026-07-21 21:44:01.133636,2026-07-21 21:44:08.968538,0 days 00:00:07.834902,1.9886607385220376,5.0,none,0.06652675994906725,,15.0,median,density_anomaly,allknn,standard,,,none,0.5477146703161982,0.6466885094435549,0.02889523987901308,COMPLETE
59,0.6094364746545099,2026-07-21 21:44:08.971576,2026-07-21 21:44:11.742100,0 days 00:00:02.770524,1.6872471823378297,,none,0.046814608072167495,,,median,none,tomek,standard,,,p01,0.588049558170398,0.6661867712788724,0.020542474484302735,COMPLETE
