model,map,kernel_mode,fold,best_C,best_gamma,total_seconds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,train_rows,validation_rows,statevector_seconds,kernel_seconds,svc_seconds
quantum,pauli_Z_ZZ_ring_r1_robust,raw,0,1.0,,,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2,64.0,16.0,0.17850470899998072,0.007122965999997177,0.0051551660000086486
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,1.0,,,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3,64.0,16.0,0.17771639099998993,0.00836931599997115,0.005236935999960224
quantum,pauli_Z_ZZ_ring_r1_robust,raw,1,10.0,,,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5,64.0,16.0,0.2171146210000643,0.00030909500003417634,0.0045660079999834124
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,10.0,,,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4,64.0,16.0,0.1793537239999523,0.0036259910000353557,0.007505469999955494
quantum,pauli_Z_ZZ_ring_r1_robust,raw,2,1.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.12242900800004008,0.0003278359999967506,0.0027822110000670364
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,1.0,,,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4,64.0,16.0,0.11615731299991694,0.0008023850000427046,0.0031625450000092314
quantum,pauli_Z_ZZ_ring_r1_robust,raw,3,1.0,,,0.5625,0.5625,0.5454545454545454,0.75,0.375,0.631578947368421,0.13483997249264842,3,5,2,6,64.0,16.0,0.10942539499990289,0.00030525200008924003,0.0026929649999374305
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,1.0,,,0.5625,0.5625,0.5454545454545454,0.75,0.375,0.631578947368421,0.13483997249264842,3,5,2,6,64.0,16.0,0.11544533300002513,0.000628159000029882,0.002707582999960323
quantum,pauli_Z_ZZ_ring_r1_robust,raw,4,10.0,,,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5,64.0,16.0,0.10607535400004053,0.00031459899992114515,0.0027291490000607155
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,10.0,,,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5,64.0,16.0,0.11292550799998935,0.0006448309999314006,0.0030548219999673165
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,0,1.0,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.21559373499997037,0.0003135819999897649,0.0027578149999953894
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,1.0,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.21876768300001004,0.0006431049999946481,0.0026858549999815295
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,1,10.0,,,0.3125,0.3125,0.36363636363636365,0.5,0.125,0.42105263157894735,-0.40451991747794525,1,7,4,4,64.0,16.0,0.194246067999984,0.00034616899995398853,0.002825058999974317
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,1.0,,,0.375,0.375,0.42857142857142855,0.75,0.0,0.5454545454545454,-0.3779644730092272,0,8,2,6,64.0,16.0,0.19246799999996256,0.0006579160000228512,0.0026019200000746423
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,2,1.0,,,0.375,0.375,0.3333333333333333,0.25,0.5,0.2857142857142857,-0.2581988897471611,4,4,6,2,64.0,16.0,0.1908068780001031,0.0003302770001027966,0.002663268999981483
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,10.0,,,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2,64.0,16.0,0.19696859099997255,0.0006466599999157552,0.0027749420000873215
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,3,10.0,,,0.625,0.625,0.6,0.75,0.5,0.6666666666666666,0.2581988897471611,4,4,2,6,64.0,16.0,0.19464871999991828,0.0003220039999405344,0.0027599439999903552
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,3,10.0,,,0.625,0.625,0.6,0.75,0.5,0.6666666666666666,0.2581988897471611,4,4,2,6,64.0,16.0,0.26746467299994947,0.0087241379999341,0.007241648000103851
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,4,10.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.3468034899999566,0.0018125349999991158,0.002986600999975053
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,4,10.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.29410045499992066,0.0006259379999846715,0.0027342210000824707
quantum,pauli_Z_ZZ_linear_r2_robust,raw,0,1.0,,,0.4375,0.4375,0.4,0.25,0.625,0.3076923076923077,-0.13483997249264842,5,3,6,2,64.0,16.0,0.19348311099997773,0.00033948800000871415,0.002834595999956946
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,0,1.0,,,0.4375,0.4375,0.4,0.25,0.625,0.3076923076923077,-0.13483997249264842,5,3,6,2,64.0,16.0,0.18388768600004823,0.0006378880000283971,0.002698847000033311
quantum,pauli_Z_ZZ_linear_r2_robust,raw,1,10.0,,,0.4375,0.4375,0.45454545454545453,0.625,0.25,0.5263157894736842,-0.13483997249264842,2,6,3,5,64.0,16.0,0.218796191000024,0.0003519880000339981,0.003274654000051669
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,1,10.0,,,0.4375,0.4375,0.45454545454545453,0.625,0.25,0.5263157894736842,-0.13483997249264842,2,6,3,5,64.0,16.0,0.1870824029999767,0.0006494419999398815,0.002767410999922504
quantum,pauli_Z_ZZ_linear_r2_robust,raw,2,10.0,,,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3,64.0,16.0,0.19513447299993913,0.00035868600002686435,0.0035931609999124703
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,2,10.0,,,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3,64.0,16.0,0.20273843500001476,0.0006297580000591552,0.0027765940000108458
quantum,pauli_Z_ZZ_linear_r2_robust,raw,3,10.0,,,0.6875,0.6875,0.7142857142857143,0.625,0.75,0.6666666666666666,0.3779644730092272,6,2,3,5,64.0,16.0,0.1983596759999955,0.00034674199991968635,0.0028193690000080096
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,3,10.0,,,0.6875,0.6875,0.7142857142857143,0.625,0.75,0.6666666666666666,0.3779644730092272,6,2,3,5,64.0,16.0,0.18800251000004664,0.0006467599999950835,0.002947499000015341
quantum,pauli_Z_ZZ_linear_r2_robust,raw,4,10.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.19129821799992897,0.0003282100000205901,0.0028315499999962412
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,4,10.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.1968838190000497,0.000636185000075784,0.0038480009999375397
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,0,1.0,,,0.5625,0.5625,0.5555555555555556,0.625,0.5,0.5882352941176471,0.1259881576697424,4,4,3,5,64.0,16.0,0.09856736500000807,0.0003470200000492696,0.0027777849999210957
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,0,1.0,,,0.5625,0.5625,0.5555555555555556,0.625,0.5,0.5882352941176471,0.1259881576697424,4,4,3,5,64.0,16.0,0.1023810050000975,0.0006236640000452098,0.0027930000001106237
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,1,0.1,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.1752163839998957,0.01071642499994141,0.005219224000029499
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,1,0.1,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.1549671010000111,0.0006022030000849554,0.00303868200001034
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,2,10.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4,64.0,16.0,0.16057099399995423,0.010500129999968522,0.007829502999925353
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,2,1.0,,,0.5625,0.5625,0.5555555555555556,0.625,0.5,0.5882352941176471,0.1259881576697424,4,4,3,5,64.0,16.0,0.18491547899998295,0.005134302999977081,0.00608708699996896
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,3,1.0,,,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4,64.0,16.0,0.194595804999949,0.0035569830000667935,0.008359645000041382
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,3,1.0,,,0.4375,0.4375,0.4444444444444444,0.5,0.375,0.47058823529411764,-0.1259881576697424,3,5,4,4,64.0,16.0,0.16602205399999548,0.0021337089999633463,0.0029072470000528483
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,4,10.0,,,0.375,0.375,0.375,0.375,0.375,0.375,-0.25,3,5,5,3,64.0,16.0,0.11252895799998441,0.00034835099995689234,0.0028805700000020806
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,4,1.0,,,0.5,0.5,0.5,0.625,0.375,0.5555555555555556,0.0,3,5,3,5,64.0,16.0,0.11820449499998631,0.0006719499999690015,0.0027006420000361686
