map,kernel_mode,outer_fold,inner_fold,C,f1,balanced_accuracy,mcc
pauli_Z_ZZ_linear_r1_robust,raw,4,1,10.0,0.5263157894736842,0.5681818181818181,0.13762047064079508
pauli_Z_ZZ_linear_r1_robust,raw,4,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,4,2,1.0,0.3333333333333333,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,raw,4,2,10.0,0.6363636363636364,0.6181818181818182,0.23636363636363636
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,0,0.1,0.35294117647058826,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,0,1.0,0.6666666666666666,0.6818181818181819,0.3651483716701107
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,0,10.0,0.6363636363636364,0.6363636363636364,0.2727272727272727
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,1,1.0,0.5555555555555556,0.6136363636363636,0.2337367475021143
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,1,10.0,0.5263157894736842,0.5681818181818181,0.13762047064079508
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,2,1.0,0.3333333333333333,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,2,10.0,0.6363636363636364,0.6181818181818182,0.23636363636363636
pauli_Z_ZZ_ring_r1_robust,raw,0,0,0.1,0.6,0.4545454545454546,-0.13245323570650439
pauli_Z_ZZ_ring_r1_robust,raw,0,0,1.0,0.2857142857142857,0.3181818181818182,-0.3651483716701107
pauli_Z_ZZ_ring_r1_robust,raw,0,0,10.0,0.2857142857142857,0.3181818181818182,-0.3651483716701107
pauli_Z_ZZ_ring_r1_robust,raw,0,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,0,1,1.0,0.6666666666666666,0.6681818181818182,0.33636363636363636
pauli_Z_ZZ_ring_r1_robust,raw,0,1,10.0,0.6666666666666666,0.6681818181818182,0.33636363636363636
pauli_Z_ZZ_ring_r1_robust,raw,0,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,0,2,1.0,0.48,0.3727272727272727,-0.26967994498529685
pauli_Z_ZZ_ring_r1_robust,raw,0,2,10.0,0.4166666666666667,0.32727272727272727,-0.35527985620321373
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,0,0.1,0.6,0.4545454545454546,-0.13245323570650439
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,0,1.0,0.2857142857142857,0.3181818181818182,-0.3651483716701107
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,0,10.0,0.2857142857142857,0.3181818181818182,-0.3651483716701107
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,1,1.0,0.6666666666666666,0.6681818181818182,0.33636363636363636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,1,10.0,0.6666666666666666,0.6681818181818182,0.33636363636363636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,2,1.0,0.48,0.3727272727272727,-0.26967994498529685
pauli_Z_ZZ_ring_r1_robust,centered_normalized,0,2,10.0,0.4166666666666667,0.32727272727272727,-0.35527985620321373
pauli_Z_ZZ_ring_r1_robust,raw,1,0,0.1,0.42105263157894735,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,1,0,1.0,0.45454545454545453,0.45454545454545453,-0.09090909090909091
pauli_Z_ZZ_ring_r1_robust,raw,1,0,10.0,0.5,0.45454545454545453,-0.09245003270420485
pauli_Z_ZZ_ring_r1_robust,raw,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,1,1,1.0,0.5217391304347826,0.4818181818181818,-0.03739787960033829
pauli_Z_ZZ_ring_r1_robust,raw,1,1,10.0,0.56,0.48636363636363633,-0.03015113445777636
pauli_Z_ZZ_ring_r1_robust,raw,1,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,1,2,1.0,0.3157894736842105,0.38636363636363635,-0.2337367475021143
pauli_Z_ZZ_ring_r1_robust,raw,1,2,10.0,0.3157894736842105,0.38636363636363635,-0.2337367475021143
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,0,0.1,0.42105263157894735,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,0,1.0,0.45454545454545453,0.45454545454545453,-0.09090909090909091
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,0,10.0,0.5,0.45454545454545453,-0.09245003270420485
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,1,1.0,0.5217391304347826,0.4818181818181818,-0.03739787960033829
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,1,10.0,0.56,0.48636363636363633,-0.03015113445777636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,2,1.0,0.3333333333333333,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_ring_r1_robust,centered_normalized,1,2,10.0,0.3157894736842105,0.38636363636363635,-0.2337367475021143
pauli_Z_ZZ_ring_r1_robust,raw,2,0,0.1,0.6086956521739131,0.5909090909090908,0.18257418583505536
pauli_Z_ZZ_ring_r1_robust,raw,2,0,1.0,0.6153846153846154,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,raw,2,0,10.0,0.6153846153846154,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,raw,2,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,2,1,1.0,0.3157894736842105,0.37727272727272726,-0.24771684715343112
pauli_Z_ZZ_ring_r1_robust,raw,2,1,10.0,0.3157894736842105,0.37727272727272726,-0.24771684715343112
pauli_Z_ZZ_ring_r1_robust,raw,2,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,2,2,1.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_ring_r1_robust,raw,2,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,0,0.1,0.6086956521739131,0.5909090909090908,0.18257418583505536
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,0,1.0,0.6153846153846154,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,0,10.0,0.6153846153846154,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,1,1.0,0.3157894736842105,0.37727272727272726,-0.24771684715343112
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,1,10.0,0.3157894736842105,0.37727272727272726,-0.24771684715343112
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,2,1.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_ring_r1_robust,centered_normalized,2,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_Z_ZZ_ring_r1_robust,raw,3,0,0.1,0.26666666666666666,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,3,0,1.0,0.5263157894736842,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_ring_r1_robust,raw,3,0,10.0,0.4444444444444444,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,raw,3,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,3,1,1.0,0.26666666666666666,0.4636363636363636,-0.08528028654224416
pauli_Z_ZZ_ring_r1_robust,raw,3,1,10.0,0.375,0.5136363636363637,0.03015113445777636
pauli_Z_ZZ_ring_r1_robust,raw,3,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,3,2,1.0,0.5925925925925926,0.4636363636363636,-0.08528028654224416
pauli_Z_ZZ_ring_r1_robust,raw,3,2,10.0,0.46153846153846156,0.3227272727272727,-0.3919647479510927
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,0,0.1,0.26666666666666666,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,0,1.0,0.5263157894736842,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,0,10.0,0.4444444444444444,0.5454545454545454,0.09759000729485331
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,1,1.0,0.26666666666666666,0.4636363636363636,-0.08528028654224416
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,1,10.0,0.375,0.5136363636363637,0.03015113445777636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,2,1.0,0.5925925925925926,0.4636363636363636,-0.08528028654224416
pauli_Z_ZZ_ring_r1_robust,centered_normalized,3,2,10.0,0.46153846153846156,0.3227272727272727,-0.3919647479510927
pauli_Z_ZZ_ring_r1_robust,raw,4,0,0.1,0.5714285714285714,0.5909090909090908,0.18257418583505536
pauli_Z_ZZ_ring_r1_robust,raw,4,0,1.0,0.6666666666666666,0.6363636363636364,0.2773500981126146
pauli_Z_ZZ_ring_r1_robust,raw,4,0,10.0,0.72,0.6818181818181819,0.37796447300922725
pauli_Z_ZZ_ring_r1_robust,raw,4,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,4,1,1.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_Z_ZZ_ring_r1_robust,raw,4,1,10.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_Z_ZZ_ring_r1_robust,raw,4,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,raw,4,2,1.0,0.375,0.5363636363636364,0.08528028654224416
pauli_Z_ZZ_ring_r1_robust,raw,4,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,0,0.1,0.5263157894736842,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,0,1.0,0.6666666666666666,0.6363636363636364,0.2773500981126146
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,0,10.0,0.72,0.6818181818181819,0.37796447300922725
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,1,1.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,1,10.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,2,1.0,0.35294117647058826,0.48636363636363633,-0.03015113445777636
pauli_Z_ZZ_ring_r1_robust,centered_normalized,4,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_XZ_XXZZ_linear_r1_robust,raw,0,0,0.1,0.43478260869565216,0.40909090909090906,-0.18257418583505536
pauli_XZ_XXZZ_linear_r1_robust,raw,0,0,1.0,0.45454545454545453,0.45454545454545453,-0.09090909090909091
pauli_XZ_XXZZ_linear_r1_robust,raw,0,0,10.0,0.2222222222222222,0.36363636363636365,-0.2927700218845599
pauli_XZ_XXZZ_linear_r1_robust,raw,0,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,0,1,1.0,0.43478260869565216,0.38636363636363635,-0.2337367475021143
pauli_XZ_XXZZ_linear_r1_robust,raw,0,1,10.0,0.36363636363636365,0.33636363636363636,-0.3302891295379082
pauli_XZ_XXZZ_linear_r1_robust,raw,0,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,0,2,1.0,0.5217391304347826,0.4727272727272727,-0.05504818825631803
pauli_XZ_XXZZ_linear_r1_robust,raw,0,2,10.0,0.5217391304347826,0.4727272727272727,-0.05504818825631803
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,0,0.1,0.4166666666666667,0.36363636363636365,-0.2773500981126146
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,0,1.0,0.45454545454545453,0.45454545454545453,-0.09090909090909091
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,0,10.0,0.3157894736842105,0.40909090909090906,-0.18898223650461363
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,1,0.1,0.6451612903225806,0.5,0.0
