feature_set,fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
chem4_prev,1,0.1,0.01,2096,524,0.6164122137404581,0.6,0.05853658536585366,0.10666666666666667,0.9749216300940439,0.5167291077299487,0.08522063767619953,311,8,193,12
chem4_prev,2,0.1,0.01,2096,524,0.6316793893129771,0.6666666666666666,0.10784313725490197,0.18565400843881857,0.965625,0.536734068627451,0.14746582524491722,309,11,182,22
chem4_prev,3,0.1,0.01,2096,524,0.6507633587786259,0.7441860465116279,0.1568627450980392,0.2591093117408907,0.965625,0.5612438725490196,0.21760854573367427,309,11,172,32
chem4_prev,4,0.1,0.01,2096,524,0.6259541984732825,0.7222222222222222,0.06372549019607843,0.11711711711711711,0.984375,0.5240502450980392,0.12877396388334847,315,5,191,13
chem4_prev,0,1.0,scale,2096,524,0.5801526717557252,0.46963562753036436,0.5658536585365853,0.5132743362831859,0.5893416927899686,0.577597675663277,0.15172691210204736,188,131,89,116
chem4_prev,1,1.0,scale,2096,524,0.6145038167938931,0.5088757396449705,0.4195121951219512,0.45989304812834225,0.7398119122257053,0.5796620536738283,0.16633982381158569,236,83,119,86
chem4_prev,2,1.0,scale,2096,524,0.6278625954198473,0.5182186234817814,0.6274509803921569,0.5676274944567627,0.628125,0.6277879901960784,0.24964435326189327,201,119,76,128
chem4_prev,3,1.0,scale,2096,524,0.6183206106870229,0.5078125,0.6372549019607843,0.5652173913043478,0.60625,0.6217524509803921,0.2375255878292061,194,126,74,130
chem4_prev,4,1.0,scale,2096,524,0.6164122137404581,0.5084745762711864,0.4411764705882353,0.47244094488188976,0.728125,0.5846507352941177,0.17454179292090616,233,87,114,90
chem4_prev,0,1.0,auto,2096,524,0.5782442748091603,0.4669421487603306,0.551219512195122,0.5055928411633109,0.5956112852664577,0.5734153987307898,0.14373323238043936,190,129,92,113
chem4_prev,1,1.0,auto,2096,524,0.6125954198473282,0.5058823529411764,0.4195121951219512,0.45866666666666667,0.7366771159874608,0.578094655554706,0.16281615325853427,235,84,119,86
chem4_prev,2,1.0,auto,2096,524,0.6278625954198473,0.5182186234817814,0.6274509803921569,0.5676274944567627,0.628125,0.6277879901960784,0.24964435326189327,201,119,76,128
chem4_prev,3,1.0,auto,2096,524,0.6125954198473282,0.5019455252918288,0.6323529411764706,0.559652928416486,0.6,0.6161764705882353,0.2266292986490819,192,128,75,129
chem4_prev,4,1.0,auto,2096,524,0.6183206106870229,0.5113636363636364,0.4411764705882353,0.47368421052631576,0.73125,0.5862132352941176,0.1780114983274613,234,86,114,90
chem4_prev,0,1.0,0.01,2096,524,0.6374045801526718,0.6229508196721312,0.18536585365853658,0.2857142857142857,0.9278996865203761,0.5566327700894563,0.17235133812045222,296,23,167,38
chem4_prev,1,1.0,0.01,2096,524,0.6259541984732825,0.5555555555555556,0.21951219512195122,0.3146853146853147,0.8871473354231975,0.5533297652725744,0.14398842038524814,283,36,160,45
chem4_prev,2,1.0,0.01,2096,524,0.6259541984732825,0.5625,0.17647058823529413,0.26865671641791045,0.9125,0.544485294117647,0.1324852812362397,292,28,168,36
chem4_prev,3,1.0,0.01,2096,524,0.6431297709923665,0.6133333333333333,0.22549019607843138,0.32974910394265233,0.909375,0.5674325980392158,0.18777430309280846,291,29,158,46
chem4_prev,4,1.0,0.01,2096,524,0.6469465648854962,0.6938775510204082,0.16666666666666666,0.26877470355731226,0.953125,0.5598958333333334,0.2006188956249532,305,15,170,34
chem4_prev,0,10.0,scale,2096,524,0.5820610687022901,0.47107438016528924,0.5560975609756098,0.5100671140939598,0.5987460815047022,0.5774218212401561,0.15157703718853666,191,128,91,114
chem4_prev,1,10.0,scale,2096,524,0.6030534351145038,0.49246231155778897,0.47804878048780486,0.48514851485148514,0.6833855799373041,0.5807171802125545,0.16233046429049147,218,101,107,98
chem4_prev,2,10.0,scale,2096,524,0.5954198473282443,0.4849624060150376,0.6323529411764706,0.548936170212766,0.571875,0.6021139705882352,0.19918405101096612,183,137,75,129
chem4_prev,3,10.0,scale,2096,524,0.5992366412213741,0.48872180451127817,0.6372549019607843,0.5531914893617021,0.575,0.6061274509803921,0.2070127670873047,184,136,74,130
chem4_prev,4,10.0,scale,2096,524,0.6125954198473282,0.5029585798816568,0.4166666666666667,0.45576407506702415,0.7375,0.5770833333333334,0.16081369337182352,236,84,119,85
chem4_prev,0,10.0,auto,2096,524,0.5782442748091603,0.4669421487603306,0.551219512195122,0.5055928411633109,0.5956112852664577,0.5734153987307898,0.14373323238043936,190,129,92,113
chem4_prev,1,10.0,auto,2096,524,0.6030534351145038,0.4925373134328358,0.48292682926829267,0.4876847290640394,0.6802507836990596,0.5815888064836761,0.16376970169885585,217,102,106,99
chem4_prev,2,10.0,auto,2096,524,0.5954198473282443,0.4849624060150376,0.6323529411764706,0.548936170212766,0.571875,0.6021139705882352,0.19918405101096612,183,137,75,129
chem4_prev,3,10.0,auto,2096,524,0.5992366412213741,0.48872180451127817,0.6372549019607843,0.5531914893617021,0.575,0.6061274509803921,0.2070127670873047,184,136,74,130
chem4_prev,4,10.0,auto,2096,524,0.6106870229007634,0.5,0.4166666666666667,0.45454545454545453,0.734375,0.5755208333333334,0.15731160076849549,235,85,119,85
chem4_prev,0,10.0,0.01,2096,524,0.6412213740458015,0.5702479338842975,0.33658536585365856,0.4233128834355828,0.8369905956112853,0.586787980732472,0.20100952781576947,267,52,136,69
chem4_prev,1,10.0,0.01,2096,524,0.648854961832061,0.6060606060606061,0.2926829268292683,0.39473684210526316,0.877742946708464,0.5852129367688661,0.21246908051329677,280,39,145,60
chem4_prev,2,10.0,0.01,2096,524,0.6507633587786259,0.5981308411214953,0.3137254901960784,0.4115755627009646,0.865625,0.5896752450980391,0.2169365476947469,277,43,140,64
chem4_prev,3,10.0,0.01,2096,524,0.6698473282442748,0.6504854368932039,0.3284313725490196,0.4364820846905538,0.8875,0.6079656862745098,0.264939161764808,284,36,137,67
chem4_prev,4,10.0,0.01,2096,524,0.6583969465648855,0.6404494382022472,0.27941176470588236,0.3890784982935154,0.9,0.5897058823529412,0.23297072920716885,288,32,147,57
