accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,map,group,fold,C,alignment,intra_similarity,inter_similarity,similarity_gap,effective_rank_train,offdiag_mean,offdiag_std,distance_to_identity,distance_to_uniform,state_seconds,kernel_seconds,svc_seconds,total_seconds
0.5,0.5,0.5,0.5,0.5,4,4,4,4,P_Z_ZZ_r2_linear_a2_minmax,reps,3,10.0,0.1473533116124748,0.0035180853838375466,0.003021448708594843,0.0004966366752427037,47.91173922228883,0.003264483677330634,0.008307118654003503,0.06119034628541338,0.9863324616224475,0.5489888449999967,0.0008586039999727291,0.004104113999972014,0.5539515629999414
0.5625,0.5625,0.6,0.375,0.46153846153846156,6,2,5,3,P_Z_ZZ_r1_circular_a2_minmax,entanglement,0,0.01,0.14583834182467514,0.0018288349939016017,0.0018237352631480545,5.099730753547246e-06,47.98171430279442,0.0018262308760700033,0.0036045086623145597,0.02770193657025388,0.9877278396963572,0.2763510269999756,0.033645163000016964,0.0018079470000316178,0.3118041370000242
0.625,0.625,0.625,0.625,0.625,5,3,3,5,P_Z_ZZ_r1_circular_a2_minmax,entanglement,1,10.0,0.1451881073913479,0.0020594245657564654,0.0022297303124892607,-0.00017030574673279533,47.96397096134242,0.002146389202385978,0.005243476803237177,0.03884261413612191,0.9874182261885521,0.28900832699997636,0.002674899999988156,0.0014993180000146822,0.2931825449999792
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZZ_r1_circular_a2_minmax,entanglement,2,10.0,0.14558158294827328,0.0021547156433411106,0.0022090742012101034,-5.4358557868992765e-05,47.9623948124214,0.002182473204806128,0.005357663893951918,0.039660866473664944,0.9873831207527558,0.27238769899997806,0.0017470230000071751,0.0038462809999941783,0.2779810029999794
0.3125,0.3125,0.2,0.125,0.15384615384615385,4,4,7,1,P_Z_ZZ_r1_circular_a2_minmax,entanglement,3,1.0,0.1463565453611174,0.002147507591816978,0.0019886643094913998,0.00015884328232557837,47.97731606255118,0.002066396128501789,0.0039980801156431125,0.030853978120113416,0.9874916743518933,0.29767726800002947,0.032008763000021645,0.0017533999999841399,0.33143943100003526
0.5625,0.5625,0.6,0.375,0.46153846153846156,6,2,5,3,P_Z_ZZ_r1_full_a2_minmax,entanglement,0,0.01,0.14569357328558963,0.007278808899218669,0.007297699323029779,-1.8890423811110044e-05,47.90482422912223,0.00728845507307966,0.006114483505278111,0.0652219199101428,0.9823350065232254,0.7681760829999575,0.0009933080000337213,0.0035224939999807248,0.772691884999972
0.5,0.5,0.5,0.75,0.6,2,6,2,6,P_Z_ZZ_r1_full_a2_minmax,entanglement,1,0.01,0.14537674504693798,0.0063111466781938675,0.006426626104084137,-0.00011547942589026916,47.925624132441364,0.006370114895669749,0.0054091718892596615,0.057291907828634546,0.9832396660456791,0.5781898050000223,0.0011239010000281269,0.0013652110000066386,0.580678917000057
0.4375,0.4375,0.4444444444444444,0.5,0.47058823529411764,3,5,4,4,P_Z_ZZ_r1_full_a2_minmax,entanglement,2,0.01,0.14758819431855222,0.007418776819550038,0.006892247110625308,0.0005265297089247301,47.91081441579296,0.007149910585205494,0.005817492001326602,0.06319278775628459,0.9824703317553568,0.5070154559999764,0.0009261129999913464,0.0014020410000057382,0.5093436099999735
0.4375,0.4375,0.4,0.25,0.3076923076923077,5,3,6,2,P_Z_ZZ_r1_full_a2_minmax,entanglement,3,0.01,0.14536105380670855,0.005689383252051502,0.005813579212680052,-0.00012419596062854948,47.936151284747055,0.005752802465989485,0.005163572921678912,0.05299612638598172,0.9838492130996762,0.49014932000000044,0.0017327409999552401,0.001392552999959662,0.49327461399991535
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZZ_r1_linear_a1_minmax,alpha,0,10.0,0.14361244891474684,0.01105873560943654,0.010812847159597804,0.00024588844983873537,46.76536424466992,0.01093317554994442,0.03284143306981949,0.23729816797272327,0.9792492013317783,0.1760694179999973,0.0009477300000071409,0.0015968810000117628,0.17861402900001622
0.5625,0.5625,0.5333333333333333,1.0,0.6956521739130435,1,7,0,8,P_Z_ZZ_r1_linear_a1_minmax,alpha,1,0.01,0.14197044962573124,0.00902567269754627,0.009387888735548192,-0.00036221603800192306,46.961161003502305,0.009210634078653634,0.029928188513345777,0.21467420815644633,0.9808614985929265,0.1843133539999826,0.0009032870000282855,0.0015254620000177965,0.1867421030000287
0.375,0.375,0.25,0.125,0.16666666666666666,5,3,7,1,P_Z_ZZ_r1_linear_a1_minmax,alpha,2,1.0,0.14506619102231771,0.009765483403786461,0.009173434412281063,0.0005920489915053982,46.907922758882755,0.009463160514507109,0.030277555600455437,0.2174746966037977,0.9806222318348357,0.1874715420000257,0.0009307700000249497,0.0013856670000222948,0.18978797900007294
0.625,0.625,0.625,0.625,0.625,5,3,3,5,P_Z_ZZ_r1_linear_a1_minmax,alpha,3,10.0,0.14580248766597304,0.006278065548674819,0.005868863439406035,0.00040920210926878413,47.44760319690836,0.006069111280112036,0.021478053978657867,0.15301183934161647,0.9837525536037185,0.1767141830000014,0.0008890729999961877,0.0015107280000279388,0.17911398400002554
0.5625,0.5625,0.5714285714285714,0.5,0.5333333333333333,5,3,4,4,P_Z_ZZ_r1_linear_a4_minmax,alpha,0,0.01,0.14511812965811,0.001982772398476538,0.0021796706999537654,-0.00019689830147722734,47.97100113775001,0.0020833162119968246,0.004644057786464517,0.03489486381503665,0.9874776994063478,0.17205298200002517,0.0009364020000361961,0.0013731949999851167,0.17436257900004648
0.4375,0.4375,0.3333333333333333,0.125,0.18181818181818182,6,2,7,1,P_Z_ZZ_r1_linear_a4_minmax,alpha,1,1.0,0.14647863561667812,0.001970888530200231,0.001772323596186476,0.00019856493401375504,47.97367845966355,0.0018694936702783138,0.004466561305799561,0.03319522999828136,0.9876884790413474,0.18256950400001415,0.0009211459999960425,0.0014083479999840165,0.1848989979999942
0.25,0.25,0.0,0.0,0.0,4,4,8,0,P_Z_ZZ_r1_linear_a4_minmax,alpha,2,0.01,0.1464387047476636,0.002116746142919795,0.0019277141312924592,0.00018903201162733582,47.97057072102028,0.002020219158259028,0.004706945522578416,0.03511582570859096,0.9875404266022358,0.1845550849999995,0.0009045229999742332,0.0014415629999575685,0.1869011709999313
0.75,0.75,0.7,0.875,0.7777777777777778,5,3,1,7,P_Z_ZZ_r1_linear_a4_minmax,alpha,3,10.0,0.14570955976428915,0.0016417304177837185,0.0016729080636676144,-3.117764588389592e-05,47.980692716840906,0.0016576509178095379,0.0038024855135832306,0.02843791526074443,0.9878953800119546,0.17736791999999468,0.0009180539999533721,0.0014811110000323424,0.1797670849999804
0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,3,5,2,6,P_Z_ZZ_r1_linear_a2_stdclip,scaling,0,10.0,0.14620417605373784,0.002784936422765969,0.0026297923394441305,0.00015514408332183843,47.92607686999411,0.0027057139121335412,0.007681598335581762,0.05583375785208889,0.9868803995078732,0.17047479299998258,0.0009420549999958894,0.0014476059999992685,0.17286445399997774
0.5625,0.5625,0.5384615384615384,0.875,0.6666666666666666,2,6,1,7,P_Z_ZZ_r1_linear_a2_stdclip,scaling,1,10.0,0.14674203745779965,0.0028326183517149045,0.0025154798506370926,0.00031713850107781185,47.920339055788475,0.0026706752873347454,0.00799857499557363,0.057811385532256745,0.9869175358079115,0.19083549699996638,0.0009370820000071944,0.001463020000016968,0.19323559899999054
0.375,0.375,0.3333333333333333,0.25,0.2857142857142857,4,4,6,2,P_Z_ZZ_r1_linear_a2_stdclip,scaling,2,10.0,0.14551265988023399,0.002877857052291744,0.002902652357527217,-2.4795305235472947e-05,47.90043369985226,0.0028905184847524113,0.008979428755417889,0.06467075212615893,0.9867082645575245,0.17753297500001963,0.000926742999979524,0.0014593280000099185,0.17991904600000908
0.4375,0.4375,0.4,0.25,0.3076923076923077,5,3,6,2,P_Z_ZZ_r1_linear_a2_stdclip,scaling,3,10.0,0.14715019982357544,0.0027006283563995818,0.0022506119696951207,0.0004500163867044611,47.905930011375716,0.0024708327546781547,0.008808364348481422,0.06271792374487441,0.9871220295533704,0.18529116399997747,0.0008886239999696954,0.0014506560000313584,0.18763044399997852
0.5,0.5,0.5,0.25,0.3333333333333333,6,2,6,2,P_Z_ZZ_r1_linear_a2_atan,scaling,0,10.0,0.14401051611263785,0.0019408435002911178,0.00240669137268452,-0.000465847872393402,47.90789381308326,0.002178723264917536,0.008766201832252844,0.06192638446217933,0.9874107015551491,0.17411533000000645,0.0009127470000294124,0.001401597999972637,0.1764296750000085
0.375,0.375,0.42857142857142855,0.75,0.5454545454545454,0,8,2,6,P_Z_ZZ_r1_linear_a2_atan,scaling,1,0.01,0.14545698858694653,0.002198848530576498,0.0022411641541237246,-4.2315623547226674e-05,47.90592507874905,0.0022204565085580602,0.008844716149010796,0.06251794342874373,0.9873700925253207,0.18860388299998476,0.000887924999972256,0.0013967720000209738,0.190888579999978
0.625,0.625,0.6,0.75,0.6666666666666666,4,4,2,6,P_Z_ZZ_r1_linear_a2_atan,scaling,2,1.0,0.14564701281398496,0.0024259452403186613,0.002449537236256075,-2.3591995937413592e-05,47.94723569044659,0.0024379922169675537,0.006411477878478685,0.04702542044365098,0.987136432247473,0.18247437799999489,0.000967156999990948,0.0014204649999669527,0.1848619999999528
